,deaths - 1/22/20,deaths - 1/23/20,deaths - 1/24/20,deaths - 1/25/20,deaths - 1/26/20,deaths - 1/27/20,deaths - 1/28/20,deaths - 1/29/20,deaths - 1/30/20,deaths - 1/31/20,deaths - 2/1/20,deaths - 2/2/20,deaths - 2/3/20,deaths - 2/4/20,deaths - 2/5/20,deaths - 2/6/20,deaths - 2/7/20,deaths - 2/8/20,deaths - 2/9/20,deaths - 2/10/20,deaths - 2/11/20,deaths - 2/12/20,deaths - 2/13/20,deaths - 2/14/20,deaths - 2/15/20,deaths - 2/16/20,deaths - 2/17/20,deaths - 2/18/20,deaths - 2/19/20,deaths - 2/20/20,deaths - 2/21/20,deaths - 2/22/20,deaths - 2/23/20,deaths - 2/24/20,deaths - 2/25/20,deaths - 2/26/20,deaths - 2/27/20,deaths - 2/28/20,deaths - 2/29/20,deaths - 3/1/20,deaths - 3/2/20,deaths - 3/3/20,deaths - 3/4/20,deaths - 3/5/20,deaths - 3/6/20,deaths - 3/7/20,deaths - 3/8/20,deaths - 3/9/20,deaths - 3/10/20,deaths - 3/11/20,deaths - 3/12/20,deaths - 3/13/20,deaths - 3/14/20,deaths - 3/15/20,deaths - 3/16/20,deaths - 3/17/20,deaths - 3/18/20,deaths - 3/19/20,deaths - 3/20/20,deaths - 3/21/20,deaths - 3/22/20,deaths - 3/23/20,deaths - 3/24/20,deaths - 3/25/20,deaths - 3/26/20,deaths - 3/27/20,deaths - 3/28/20,deaths - 3/29/20,deaths - 3/30/20,deaths - 3/31/20,deaths - 4/1/20,deaths - 4/2/20,deaths - 4/3/20,deaths - 4/4/20,deaths - 4/5/20,deaths - 4/6/20,deaths - 4/7/20,deaths - 4/8/20,deaths - 4/9/20,deaths - 4/10/20,deaths - 4/11/20,deaths - 4/12/20,deaths - 4/13/20,deaths - 4/14/20,deaths - 4/15/20,deaths - 4/16/20,deaths - 4/17/20,deaths - 4/18/20,deaths - 4/19/20,deaths - 4/20/20,deaths - 4/21/20,deaths - 4/22/20,deaths - 4/23/20,deaths - 4/24/20,deaths - 4/25/20,deaths - 4/26/20,deaths - 4/27/20,deaths - 4/28/20,deaths - 4/29/20,deaths - 4/30/20,deaths - 5/1/20,deaths - 5/2/20,deaths - 5/3/20,deaths - 5/4/20,deaths - 5/5/20,deaths - 5/6/20,deaths - 5/7/20,deaths - 5/8/20,deaths - 5/9/20,deaths - 5/10/20,deaths - 5/11/20,deaths - 5/12/20,deaths - 5/13/20,deaths - 5/14/20,deaths - 5/15/20,deaths - 5/16/20,deaths - 5/17/20,deaths - 5/18/20,deaths - 5/19/20,deaths - 5/20/20,deaths - 5/21/20,deaths - 5/22/20,deaths - 5/23/20,deaths - 5/24/20,deaths - 5/25/20,deaths - 5/26/20,deaths - 5/27/20,deaths - 5/28/20,deaths - 5/29/20,deaths - 5/30/20,deaths - 5/31/20,deaths - 6/1/20,deaths - 6/2/20,deaths - 6/3/20,deaths - 6/4/20,deaths - 6/5/20,deaths - 6/6/20,deaths - 6/7/20,deaths - 6/8/20,deaths - 6/9/20,deaths - 6/10/20,deaths - 6/11/20,deaths - 6/12/20,deaths - 6/13/20,deaths - 6/14/20,deaths - 6/15/20,deaths - 6/16/20,deaths - 6/17/20,deaths - 6/18/20,deaths - 6/19/20,deaths - 6/20/20,deaths - 6/21/20,deaths - 6/22/20,deaths - 6/23/20,deaths - 6/24/20,deaths - 6/25/20,deaths - 6/26/20,deaths - 6/27/20,deaths - 6/28/20,deaths - 6/29/20,deaths - 6/30/20,deaths - 7/1/20,deaths - 7/2/20,deaths - 7/3/20,deaths - 7/4/20,deaths - 7/5/20,deaths - 7/6/20,deaths - 7/7/20,deaths - 7/8/20,deaths - 7/9/20,deaths - 7/10/20,deaths - 7/11/20,deaths - 7/12/20,deaths - 7/13/20,deaths - 7/14/20,deaths - 7/15/20,deaths - 7/16/20,deaths - 7/17/20,deaths - 7/18/20,deaths - 7/19/20,deaths - 7/20/20,deaths - 7/21/20,deaths - 7/22/20,deaths - 7/23/20,deaths - 7/24/20,deaths - 7/25/20,deaths - 7/26/20,deaths - 7/27/20,deaths - 7/28/20,deaths - 7/29/20,deaths - 7/30/20,deaths - 7/31/20,deaths - 8/1/20,deaths - 8/2/20,deaths - 8/3/20,deaths - 8/4/20,deaths - 8/5/20,deaths - 8/6/20,deaths - 8/7/20,deaths - 8/8/20,deaths - 8/9/20,deaths - 8/10/20,deaths - 8/11/20,deaths - 8/12/20,deaths - 8/13/20,deaths - 8/14/20,deaths - 8/15/20,deaths - 8/16/20,deaths - 8/17/20,deaths - 8/18/20,deaths - 8/19/20,deaths - 8/20/20,deaths - 8/21/20,deaths - 8/22/20,deaths - 8/23/20,deaths - 8/24/20,deaths - 8/25/20,deaths - 8/26/20,deaths - 8/27/20,deaths - 8/28/20,deaths - 8/29/20,deaths - 8/30/20,deaths - 8/31/20,deaths - 9/1/20,deaths - 9/2/20,deaths - 9/3/20,deaths - 9/4/20,deaths - 9/5/20,deaths - 9/6/20,deaths - 9/7/20,deaths - 9/8/20,deaths - 9/9/20,deaths - 9/10/20,deaths - 9/11/20,deaths - 9/12/20,deaths - 9/13/20,deaths - 9/14/20,deaths - 9/15/20,deaths - 9/16/20
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,94,0,0,0,31,0,0,0,0,0,0,99,0,0,8,0,0,0,0,0,0,58,0,0,0,0,0,70,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,83,40,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,13
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,0,2,0,4,3,2,4,3,6,3,6,4,4,3,12,4,5,0,10,0,13,9,5,7,3,1,4,11,5,10,8,8,0,11,15,40,12,12,11,8,7,13,9,11,4,10,1,13,9,9,9,9,1,5,6,8,8,9,3,6,10,5,6,20,4,13,0,11,6,1,17,7,13,7,1,11,11,7,12,5,6,1,2,5,11,3,18,5,9,5,16,10,8,1,15,5,5,18,24,18,9,19,8,5,20,38,22,24,18,10,11,23,0,69,25,39,21,9,56,39,52,45,72,25,16,0,99,48,47,37,26,12,53,45,0,0,0,210,17,51,87,0,20,55,9,19,54,17,41,59,32,11,7,19,45,55,27,44,11,11,37,37,13,37,32,10,20,5,28,36,49,16,24,13,21,34
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,0,2,4,4,0,0,0,3,5,2,0,3,0,0,5,0,4,1,0,0,0,0,2,2,2,0,0,0,0,4,0,5,1,0,2,0,0,2,1,0,0,0,3,1,4,1,1,0,0,2,1,0,3,0,0,0,2,1,3,1,3,0,0,0,2,0,3,0,0,1,1,0,3,6,2,0,0,0,2,4,1,0,2,0,0,1,2,1,0,1,0,0,6,0,1,4,1,0,1,1,4,3,2,0,0,0,0,2,2,2,1,0,1,1,2,2,0,2,0,0,1,0,3,2,0,0,0,2,0,1,3,0,0,0,0,4,0,6,1,0,0,8
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,6,3,10,7,6,6,2,19,6,10,14,4,3,0,8,15,10,6,2,3,3,4,5,9,3,0,8,3,2,0,10,7,5,5,1,5,7,11,0,4,1,1,7,14,9,14,3,5,3,3,4,5,4,2,14,7,2,4,10,3,4,5,0,3,12,7,13,9,9,1,3,12,2,5,25,4,2,8,10,5,11,6,9,2,5,11,14,10,10,9,0,8,12,4,10,13,4,9,5,12,22,22,13,15,3,6,20,17,14,18,23,6,4,23,15,34,13,25,1,13,0,41,14,27,8,6,17,23,27,37,17,11,8,16,36,16,24,12,21,18,21,38,29,35,58,14,5,19,40,19,24,26,23,21,5,23,14,26,25,26,3,3,24,36,58,35,43,15,17,30,26
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,4,1,5,6,2,7,5,4,11,14,13,13,17,20,14,14,23,21,27,28,17,0,47,46,29,35,25,24,18,21,27,17,32,30,24,16,26,42,50,34,31,20,17,22,39,26,31,45,39,11,33,26,58,56,33,30,10,22,47,21,39,25,12,8,7,24,38,25,21,24,6,16,35,32,21,28,12,6,19,31,35,17,18,19,7,45,31,41,30,23,16,10,26,27,46,31,39,27,10,21,59,42,50,33,28,17,61,96,105,95,98,80,43,83,106,123,165,119,61,40,66,120,103,108,90,102,1196,0,443,160,296,268,0,179,245,236,306,292,246,113,31,218,319,255,310,237,143,51,230,307,234,258,214,104,25,181,229,265,196,154,90,26,143,189,221,140,177,64,19,61,140,161,144,147,47,21,132,135
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,5,0,0,0,4,1,0,0,1,1,2,2,2,3,0,4,2,1,0,6,0,0,4,0,1,0,3,1,0,5,2,3,0,7,0,0,5,2,0,0,3,2,0,0,9,2,0,4,0,2,3,3,2,2,0,0,4,0,4,0,4,0,1,3,2,1,4,7,0,0,4,2,4,2,3,0,2,0,5,0,1,2,0,0,1,4,1,3,5,0,2,7,4,6,1,5,5,1,0,11,7,1,1,6,0,0,10,8,9,6,0,0,7,5,6,7,5,6,1,3,7,6,3,5,0,1,9,13,2,2,7,2,1,2,4,9,0,0,8,0,4,6,4,3,4,0,0,0,2,0,5,1,5,2,1,1,3,3,1,2,0,2,0,2
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,3,4,1,3,5,3,2,7,7,4,4,2,3,9,11,34,11,10,10,8,6,42,13,22,27,19,22,24,26,24,64,0,0,23,33,29,31,29,36,44,24,29,0,56,42,16,12,10,40,37,27,23,25,7,5,27,33,24,34,25,12,34,24,45,55,22,12,5,15,16,19,16,10,7,11,6,17,19,9,13,8,4,5,19,11,7,17,5,4,9,22,17,16,26,23,8,7,23,24,29,27,5,5,0,27,24,50,5,4,2,9,17,15,8,12,2,0,4,16,4,4,13,9,1,5,0,42,17,30,40,3,2,31,28,26,14,6,4,1,16,7,13,6,11,0,4,10,23,17,9,7,24,4,22,20,12,21,20,1,11,33,28,12,10,16,0,6,2,11,11,4,11,2,19,96,45
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,1,2,1,1,1,5,0,2,0,1,2,0,3,1,2,0,1,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,1,2,3,3,4,1,5,2,6,3,2,6,4,14,8,9,10,1,15,13,6,14,25,17,10,23,4,30,13,23,22,29,34,22,26,26,28,17,17,0,33,26,16,20,21,10,18,29,11,18,12,15,12,15,21,15,13,9,7,4,7,21,8,21,14,16,10,14,17,12,9,8,8,2,1,29,6,8,6,0,11,9,8,17,11,5,7,0,5,6,6,3,11,4,4,4,15,13,5,8,9,4,2,5,1,19,10,10,4,6,9,9,7,5,6,0,10,12,7,3,9,2,5,10,13,10,14,14,0,11,-37,7,21,7,6,11,3,5,9,4,12,10,6,6,18,0,36,9,0,29,0,7,16,6,27,20,1,18,6,19,10,13,17,9,14,6,22,16,12,13,9,5,3,8,6,9,14,0,0,11,14,7,8,9,1,0,0,0,26,7,8,0,0,15,9,5
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,2,4,1,0,1,2,8,7,6,19,12,9,15,7,12,17,9,7,0,25,12,16,8,6,9,10,12,4,11,5,4,6,9,19,8,8,10,8,5,1,13,9,12,10,14,2,9,9,3,13,11,7,0,6,9,14,6,9,11,3,3,3,23,11,18,20,4,3,12,9,10,7,12,1,0,15,9,11,7,3,1,2,8,10,7,10,14,0,1,5,8,8,1,11,0,0,7,2,7,3,0,0,0,8,3,2,5,6,0,0,6,1,4,2,10,1,2,13,6,13,0,13,1,1,0,18,8,14,14,1,1,12,9,7,12,5,1,1,8,7,7,7,13,1,0,8,13,6,2,13,0,0,13,6,11,2,6,2,0,9,12,3,7,15,0,0,1,15,10,4,12,1,0,10,8
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,2,1,1,2,1,3,2,2,6,0,3,2,0,2,1,3,1,2,4,2,3,0,0,0,1,0,1,1,1,3,1,1,3,2,1,2,1,0,1,2,1,0,0,0,2,0,0,0,0,0,2,2,1,1,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,2,0,0,0,3,3,3,3,1,0,1,0,7,0,0,3,4,8,2,6,6,0,4,2,0,0,3,2,1,5,6,2,1,7,3,6,4,11,1,1,7,9,8,5,1,3,1,4,3,2,7,2,0,10,0,16
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
