State,cases - 1/22/20,cases - 1/23/20,cases - 1/24/20,cases - 1/25/20,cases - 1/26/20,cases - 1/27/20,cases - 1/28/20,cases - 1/29/20,cases - 1/30/20,cases - 1/31/20,cases - 2/1/20,cases - 2/2/20,cases - 2/3/20,cases - 2/4/20,cases - 2/5/20,cases - 2/6/20,cases - 2/7/20,cases - 2/8/20,cases - 2/9/20,cases - 2/10/20,cases - 2/11/20,cases - 2/12/20,cases - 2/13/20,cases - 2/14/20,cases - 2/15/20,cases - 2/16/20,cases - 2/17/20,cases - 2/18/20,cases - 2/19/20,cases - 2/20/20,cases - 2/21/20,cases - 2/22/20,cases - 2/23/20,cases - 2/24/20,cases - 2/25/20,cases - 2/26/20,cases - 2/27/20,cases - 2/28/20,cases - 2/29/20,cases - 3/1/20,cases - 3/2/20,cases - 3/3/20,cases - 3/4/20,cases - 3/5/20,cases - 3/6/20,cases - 3/7/20,cases - 3/8/20,cases - 3/9/20,cases - 3/10/20,cases - 3/11/20,cases - 3/12/20,cases - 3/13/20,cases - 3/14/20,cases - 3/15/20,cases - 3/16/20,cases - 3/17/20,cases - 3/18/20,cases - 3/19/20,cases - 3/20/20,cases - 3/21/20,cases - 3/22/20,cases - 3/23/20,cases - 3/24/20,cases - 3/25/20,cases - 3/26/20,cases - 3/27/20,cases - 3/28/20,cases - 3/29/20,cases - 3/30/20,cases - 3/31/20,cases - 4/1/20,cases - 4/2/20,cases - 4/3/20,cases - 4/4/20,cases - 4/5/20,cases - 4/6/20,cases - 4/7/20,cases - 4/8/20,cases - 4/9/20,cases - 4/10/20,cases - 4/11/20,cases - 4/12/20,cases - 4/13/20,cases - 4/14/20,cases - 4/15/20,cases - 4/16/20,cases - 4/17/20,cases - 4/18/20,cases - 4/19/20,cases - 4/20/20,cases - 4/21/20,cases - 4/22/20,cases - 4/23/20,cases - 4/24/20,cases - 4/25/20,cases - 4/26/20,cases - 4/27/20,cases - 4/28/20,cases - 4/29/20,cases - 4/30/20,cases - 5/1/20,cases - 5/2/20,cases - 5/3/20,cases - 5/4/20,cases - 5/5/20,cases - 5/6/20,cases - 5/7/20,cases - 5/8/20,cases - 5/9/20,cases - 5/10/20,cases - 5/11/20,cases - 5/12/20,cases - 5/13/20,cases - 5/14/20,cases - 5/15/20,cases - 5/16/20,cases - 5/17/20,cases - 5/18/20,cases - 5/19/20,cases - 5/20/20,cases - 5/21/20,cases - 5/22/20,cases - 5/23/20,cases - 5/24/20,cases - 5/25/20,cases - 5/26/20,cases - 5/27/20,cases - 5/28/20,cases - 5/29/20,cases - 5/30/20,cases - 5/31/20,cases - 6/1/20,cases - 6/2/20,cases - 6/3/20,cases - 6/4/20,cases - 6/5/20,cases - 6/6/20,cases - 6/7/20,cases - 6/8/20,cases - 6/9/20,cases - 6/10/20,cases - 6/11/20,cases - 6/12/20,cases - 6/13/20,cases - 6/14/20,cases - 6/15/20,cases - 6/16/20,cases - 6/17/20,cases - 6/18/20,cases - 6/19/20,cases - 6/20/20,cases - 6/21/20,cases - 6/22/20,cases - 6/23/20,cases - 6/24/20,cases - 6/25/20,cases - 6/26/20,cases - 6/27/20,cases - 6/28/20,cases - 6/29/20,cases - 6/30/20,cases - 7/1/20,cases - 7/2/20,cases - 7/3/20,cases - 7/4/20,cases - 7/5/20,cases - 7/6/20,cases - 7/7/20,cases - 7/8/20,cases - 7/9/20,cases - 7/10/20,cases - 7/11/20,cases - 7/12/20,cases - 7/13/20,cases - 7/14/20,cases - 7/15/20,cases - 7/16/20,cases - 7/17/20,cases - 7/18/20,cases - 7/19/20,cases - 7/20/20,cases - 7/21/20,cases - 7/22/20,cases - 7/23/20,cases - 7/24/20,cases - 7/25/20,cases - 7/26/20,cases - 7/27/20,cases - 7/28/20,cases - 7/29/20,cases - 7/30/20,cases - 7/31/20,cases - 8/1/20,cases - 8/2/20,cases - 8/3/20,cases - 8/4/20,cases - 8/5/20,cases - 8/6/20,cases - 8/7/20,cases - 8/8/20,cases - 8/9/20,cases - 8/10/20,cases - 8/11/20,cases - 8/12/20,cases - 8/13/20,cases - 8/14/20,cases - 8/15/20,cases - 8/16/20,cases - 8/17/20,cases - 8/18/20,cases - 8/19/20,cases - 8/20/20,cases - 8/21/20,cases - 8/22/20,cases - 8/23/20,cases - 8/24/20,cases - 8/25/20,cases - 8/26/20,cases - 8/27/20,cases - 8/28/20,cases - 8/29/20,cases - 8/30/20,cases - 8/31/20,cases - 9/1/20,cases - 9/2/20,cases - 9/3/20,cases - 9/4/20,cases - 9/5/20,cases - 9/6/20,cases - 9/7/20,cases - 9/8/20,cases - 9/9/20,cases - 9/10/20,cases - 9/11/20,cases - 9/12/20,cases - 9/13/20,cases - 9/14/20,cases - 9/15/20,cases - 9/16/20
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,34,67,45,56,22,28,129,274,353,246,179,274,588,616,750,1287,683,364,134,386,229,123,677,241,62,101,157,62,688,123,257,73,22,358,168,190,173,185,118,45,134,190,173,173,118,151,0,252,118,173,112,151,140,0,168,185,173,151,207,162,0,201,129,162,157,347,173,0,0,403,179,207,0,397,6,369,151,319,358,325,151,0,280,179,218,235,280,257,0,358,442,515,621,716,739,0,1399,817,1365,1237,1567,974,0,2417,2048,1416,1242,2244,2110,2031,1779,2725,2406,2574,2798,3229,0,2222,4561,4079,3850,3458,3072,0,5389,3117,2787,2322,2955,3150,1959,2887,2955,2540,3178,2652,2205,0,3139,3134,2647,3872,2932,3190,996,2395,2787,3011,2787,3033,1701,0,2608,2149,2065,0,3749,1656,0,2249,2289,1712,1914,1472,1628,0,2294,1567,1668,1472,1511,1572,0,1058,1768,1841,1712,1869,1214,627,1416,1550,1578
IL,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,5,5,4,6,11,13,4,28,43,88,113,130,132,237,136,251,259,532,386,362,863,370,732,773,555,941,1140,706,785,1023,1206,1059,1144,1018,1311,949,973,1072,889,1440,1224,931,902,1174,1593,1468,2128,1629,1648,1540,1753,1762,2001,2491,2001,2372,1835,1654,1899,2086,2319,1811,1293,1012,3170,1333,2541,1929,1651,1354,1800,1222,1884,1783,2143,1850,1952,1336,911,870,1192,1346,1190,1057,763,1229,802,750,908,784,673,537,619,514,608,477,522,523,381,493,482,508,543,500,515,365,478,568,713,685,621,510,567,571,653,0,1372,682,500,481,465,780,803,1035,946,750,690,567,945,1005,1086,1005,760,921,739,1274,1283,1205,1120,1208,955,865,1101,1402,1523,1300,1157,1021,1146,1401,1546,1642,1736,1080,1038,1213,1283,1456,1815,1458,1229,1392,1379,1795,1451,1739,1867,1498,1267,1303,1730,1336,1705,1460,1571,1329,1166,1682,1064,4255,2209,1132,1088,1097,1034,1559,1691,1669,1158,1074,1160,1533
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,6,0,3,0,10,0,16,0,7,30,101,0,114,86,152,175,716,0,404,417,401,559,602,704,591,761,685,792,830,651,603,832,778,725,453,431,637,870,924,728,842,700,613,514,0,1754,1020,1050,1410,919,961,879,1205,986,946,850,781,1243,942,958,870,582,740,738,524,857,896,927,729,713,679,842,982,704,726,707,501,536,530,940,734,0,1512,373,615,698,572,719,622,588,331,613,458,610,599,590,544,735,529,315,677,463,474,530,312,358,400,766,691,676,530,437,550,533,646,784,765,564,747,456,657,297,564,2126,798,628,966,1020,1055,1089,1249,1361,945,1041,1132,1383,1478,1367,1249,807,1139,928,1414,1627,1325,1013,750,1230,1068,1560,1840,1536,1540,985,1288,988,1549,1589,1551,1093,873,1257,726,1395,1543,1490,914,2488,1208,4722,1728,1222,1671,1309,1304,1059,1288,1662,1542,1612,1252,875,578,1075,1170,1885,1604,1842,1090,1026,867
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,0,7,17,10,17,45,34,34,31,51,48,113,154,117,206,196,165,203,185,233,240,268,168,336,185,494,209,199,343,244,141,172,233,323,398,295,203,470,137,638,930,1002,968,405,529,560,838,1720,724,1026,975,738,728,954,1407,1215,834,817,460,649,652,721,704,285,175,1212,69,704,203,1225,45,14,86,697,405,127,1126,0,0,992,65,525,0,711,0,117,738,0,570,0,807,0,0,1260,0,923,0,1325,199,124,1088,113,1654,271,1720,124,666,2252,113,1823,0,0,0,0,6542,24,2489,367,3017,309,875,3899,62,2997,51,2904,628,487,4085,432,2324,0,3563,14,814,2773,89,2444,148,3021,130,625,2890,144,2719,302,2966,127,206,3412,305,2550,199,4273,130,374,3971,244,2519,309,3206,453,429,4407,405,4792,903,3535,257,299,4586,477,3920,185,5073,0,278,4644,1146,1751,151,3189,141,0,5015,0,3841
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,9,7,4,13,2,2,20,27,9,0,11,110,103,20,125,137,152,65,78,237,181,143,166,186,349,248,90,479,383,342,295,284,159,280,172,307,208,421,577,192,338,401,253,665,293,387,184,519,351,378,383,0,542,287,1283,302,439,369,345,0,537,396,481,331,495,535,0,542,293,260,282,307,325,0,0,853,280,235,631,573,0,739,325,526,660,607,685,0,419,522,396,137,506,613,0,450,401,369,452,566,396,264,197,705,497,571,569,687,145,255,622,488,530,665,0,0,1739,826,895,723,951,1007,591,584,1276,1043,904,1171,1285,2182,575,1437,1090,1352,1753,1869,712,1124,1173,1383,1473,1721,1280,1030,714,1542,1197,1128,1220,1730,960,611,1206,2581,1652,1374,1424,862,828,1361,1406,1544,1439,1813,0,1849,1504,1488,1672,1741,1829,0,1842,1759,1786,2008,1797,1750,694,638,589,1471,1782,2075,1594,1180,757,1612,1728
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,15,13,34,110,39,71,125,181,234,303,484,157,701,473,886,1088,940,1241,484,1033,2590,2538,5743,2312,4999,1112,3956,3048,1605,2685,2078,1639,1250,899,1076,925,1224,1295,1000,746,1273,712,863,1033,865,802,561,635,475,802,729,1514,934,430,716,697,865,544,437,1187,396,462,495,1258,1719,686,798,678,596,708,598,2512,684,368,200,1375,718,936,654,1665,0,721,908,871,820,897,983,996,703,497,1045,850,931,1063,2571,628,888,832,1241,0,1973,1869,837,990,2930,1897,2013,2910,0,3151,1768,2254,4479,2971,3713,0,4162,2366,4115,4132,3964,5679,4653,2827,3657,4799,4489,4902,4681,0,6699,6845,3644,5961,4939,4481,0,8260,5040,2411,3732,3674,3870,0,7454,2366,7331,3190,2814,3224,0,5619,1209,2500,2579,2433,2792,0,2536,1228,1368,1650,1955,1884,0,2302,970,2037,1811,1495,1299,0,3465,697,1493,2046,1768,1766,0,2919,671,639,3231,1002,1671,0,2706,1002,875,1129
MA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,23,28,74,6,16,23,22,33,38,44,51,91,119,147,164,157,505,884,683,1146,1399,862,1114,1486,1741,1754,2166,1847,1194,1895,2002,2316,3150,3055,2597,3579,1912,1796,2450,3188,3045,2897,2355,2214,2150,2641,4637,7098,3507,2062,2395,2916,3073,2854,3082,2902,1770,1914,1816,2932,2459,2384,2059,1503,992,1283,1703,2392,1819,2159,1554,1516,1301,1507,1602,1180,1088,1486,860,633,747,966,937,1077,1021,5502,553,643,678,712,859,448,247,398,393,731,577,472,287,136,289,389,390,348,413,173,221,350,247,338,335,535,328,119,192,293,370,413,306,197,235,289,377,429,313,406,290,335,438,312,319,434,515,437,367,363,411,466,480,418,532,415,370,721,599,786,627,602,293,770,604,384,596,606,463,393,575,0,0,0,0,0,0,0,0,0,3726,132,0,830,469,456,512,628,611,257,431,496,480,480,402,544,531,313,236,260,554,583,644,380,341,438,443
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,2,5,0,8,22,0,12,33,46,36,137,0,89,71,103,114,268,319,362,409,286,410,538,572,706,607,801,721,538,1915,1085,1297,1201,878,1171,888,928,1246,1303,1216,863,1404,852,963,1588,1457,1902,1346,1497,1032,1219,1482,2850,1667,1636,1533,1203,1732,2001,1796,1778,1742,1300,1138,1242,1805,1788,1609,1401,1585,2949,1277,2006,1479,1772,2737,883,0,1222,2125,2116,1700,1158,1011,1398,1340,1451,1492,1193,807,708,835,928,1214,688,1085,710,518,668,915,418,471,551,480,392,609,511,638,966,723,541,787,504,595,835,890,622,475,447,830,769,969,766,921,1062,691,1212,1250,1072,781,1770,1530,913,1421,1042,1098,1538,2124,1146,1866,1069,1267,1475,1934,1689,1504,1439,1174,946,958,1325,1282,1523,1204,1014,893,1285,1183,1353,857,824,870,685,956,1110,1034,958,938,622,728,954,994,1044,822,758,1014,756,1146,1355,1284,847,1264,589,556,820,953,1303,835,810,1090,1322
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,104,89,52,30,112,97,104,156,119,164,104,82,320,298,164,0,498,231,394,171,112,216,164,141,201,193,223,126,461,298,268,179,253,149,141,67,97,134,238,208,171,186,60,126,112,305,208,223,245,134,171,208,551,298,290,193,171,112,283,402,275,335,268,223,216,573,424,528,201,126,89,796,186,372,275,409,327,193,216,283,223,268,342,335,134,134,223,231,379,283,268,112,74,134,305,268,186,149,97,186,141,625,402,0,260,238,528,238,0,543,126,74,104,156,186,89,0,260,193,60,97,134,283,60,0,149,179,97,179,89,171,245,171,141,52,208,164,164,164,149,104,60,119,45,134,82,119,60,22,141,141,201,171,179,216,119,193,141,245,238,126,156,89,149,186,156,417,156,112,164,141,372,119,0,0,595,0,342,216,298,245,298,104,171,186
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,12,8,20,2,11,15,244,224,238,249,288,459,499,557,791,964,801,1013,1101,1630,1437,1889,1439,1396,1477,1688,1417,1152,1206,1167,638,1005,1286,1007,1210,831,728,635,575,955,976,1213,1152,509,541,439,1010,938,792,867,579,500,213,374,683,462,546,465,373,408,422,361,1129,458,450,321,282,418,565,413,361,451,296,201,198,174,448,413,174,487,139,157,273,225,5184,445,417,264,301,199,204,243,173,214,115,183,222,278,292,435,163,236,241,337,435,320,352,254,274,499,427,579,475,395,342,298,621,650,606,615,632,444,410,674,1067,889,778,724,507,512,671,697,734,622,492,1084,501,729,970,900,812,724,418,592,731,665,772,746,725,497,579,687,504,1125,854,794,471,480,644,739,535,0,1426,740,823,749,861,836,785,0,1293,493,765,668,762,935,846,0,1173,488,976,953,1349,773,0,1230,680,801
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,11,5,16,4,43,9,16,46,50,37,57,113,51,46,101,92,80,110,129,94,103,98,82,133,112,92,149,156,160,0,321,337,0,131,213,184,282,246,248,206,106,168,289,305,309,195,234,452,1793,869,1039,881,766,1014,1094,1307,1378,1261,1266,849,926,1222,778,911,1419,1293,1236,1250,1151,1140,942,1452,1495,1289,1305,1160,807,800,1083,1128,1170,637,534,667,716,1216,922,697,598,532,621,791,883,674,539,394,335,729,663,649,750,782,546,436,512,644,869,739,917,546,782,743,874,745,0,904,766,988,807,1023,1066,1422,1255,864,709,1011,1075,1188,807,1282,436,1763,879,1335,1337,1381,1530,1122,837,1314,1314,1367,1268,1328,1078,1067,1153,1477,988,1596,1406,1096,592,825,1218,1275,1222,1309,993,672,979,1232,1431,1333,1264,1252,732,940,2023,1495,1805,1631,1176,869,1319,1754,1562,1612,1227,1087,667,417,755,837,1612,1298,1106,727,830
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,2,0,3,0,11,20,64,34,24,122,116,166,233,279,262,91,228,495,414,409,453,284,137,574,510,463,358,424,373,220,367,486,344,350,269,385,236,238,225,316,295,492,293,272,287,225,200,213,435,507,381,596,277,292,380,231,297,287,121,145,222,275,235,357,192,244,212,329,191,350,318,376,290,200,337,293,196,274,295,295,409,318,464,324,306,178,288,293,459,332,314,365,0,613,371,349,456,479,640,671,228,704,474,821,741,714,44,1198,829,606,601,622,174,1092,627,1299,939,934,1453,764,513,723,1525,1452,1152,1409,1563,1380,859,1857,2125,2666,2695,2209,1978,1823,2892,3135,3389,2423,1523,940,1712,1939,2029,1732,1639,0,2511,1664,1597,2612,2053,2398,1838,1740,1859,1300,2061,1724,2001,2105,1326,1413,1142,2310,2480,2299,2234,2084,1714,1732,2363,2281,2615,3210,1981,1507,1287,2209,1822,2550,3220,2617,2182,2138,1947
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,13,0,7,30,44,54,101,202,218,138,225,205,370,0,0,914,299,302,427,383,581,356,612,336,591,309,850,696,588,474,534,487,924,874,568,615,1011,790,679,612,860,944,944,659,618,840,743,850,1327,769,376,1095,1042,773,890,1371,931,444,588,783,615,1277,1109,1055,581,457,937,874,870,1327,1284,847,685,897,1068,1102,1411,1398,948,820,961,991,823,706,904,790,1633,1186,1253,0,2040,860,558,937,1169,1539,0,0,0,0,5685,2053,1761,3662,1851,1546,1236,2271,2288,2194,2920,3071,3310,773,1193,3226,2268,2362,3461,2658,2906,1304,2843,3387,4291,2943,3945,2661,4203,5490,5201,3300,5410,4818,4049,2201,4509,5057,5964,3911,3649,2060,1922,3511,4297,3326,3723,4045,1764,1616,2174,3625,2063,3172,2769,1280,927,2671,4529,2950,2772,3330,2130,1707,2742,2893,2029,2080,2470,2161,927,2127,2641,2527,2752,1811,1381,813,827,1421,1741,2866,1502,847,514,1697,2389
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,0,19,0,0,19,84,75,65,103,56,131,225,290,253,131,150,196,178,225,196,178,140,206,0,122,0,0,0,0,0,0,0,767,84,37,65,0,37,19,28,19,9,28,9,19,0,9,0,19,0,19,0,0,0,19,9,0,9,19,9,0,37,19,0,19,9,65,0,0,37,0,0,0,19,37,75,112,94,37,37,19,131,19,9,47,28,56,75,28,94,140,122,65,56,159,225,103,281,178,150,37,374,337,271,215,94,524,449,290,833,412,374,421,346,749,412,898,1188,749,777,777,973,290,2133,1310,964,571,833,823,982,908,1198,2021,814,356,898,1853,1291,1853,664,1020,412,758,1076,1619,1441,1198,608,580,851,1553,1301,1235,1104,814,402,533,1029,1095,1319,1516,487,571,1263,1516,1347,1244,1778,823,767,823,1703,1684,1385,1347,936,487,599,823,1815,1160,1310,898,805,1263,1768
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,8,0,1,14,1,7,0,21,71,0,44,65,34,97,98,125,134,158,223,133,180,85,262,227,295,174,272,333,195,215,244,376,204,249,200,106,262,457,254,309,226,155,220,292,383,429,236,189,476,322,477,863,557,153,171,391,480,604,454,469,380,266,294,450,657,596,808,510,483,648,405,699,723,1051,472,687,174,487,748,1028,1127,0,1508,594,852,1032,1134,1500,874,789,699,836,1244,1738,1497,1378,824,746,900,1294,1546,1632,1338,765,809,1401,1158,1608,1627,1546,1276,1133,1743,1564,1986,1370,1264,1465,1292,1369,1945,1888,2337,1825,1739,1875,1697,2060,1957,2366,1732,1212,1729,2025,1672,2142,2010,1546,1545,1671,1669,2246,1863,1649,1276,1256,1552,1072,1887,1473,1832,1372,591,998,0,2844,1288,1465,1187,539,1203,1092,1891,1911,1649,1403,1213,1292,1189,1994,1350,2464,1000,1123,2019,1078,1573,0,3443,1031,962,687,861,1168,1461,1385,1137,802,1064,1085
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,52,26,157,92,26,26,26,52,118,171,131,328,52,157,223,276,157,184,171,276,236,157,184,236,118,197,197,302,131,315,367,0,0,0,3071,210,472,394,512,722,840,971,643,564,446,525,604,499,446,538,735,630,709,512,341,341,722,984,879,643,1129,656,394,853,1129,1443,1037,630,643,499,236,223,551,512,446,302,643,289,433,354,512,932,591,236,289,525,512,472,551,289,276,302,892,0,433,341,486,328,79,971,328,525,0,486,577,486,512,551,853,748,486,433,630,958,1299,1115,1168,1194,1417,669,945,1352,1588,1522,1483,0,1404,1063,2086,3241,1601,1811,1470,2034,1115,971,2218,1745,774,1614,1955,1627,1562,1968,2401,1168,1522,2231,1129,2624,1981,1627,1876,774,1785,2401,3582,3018,3425,1837,1614,2992,3084,4462,4107,4934,0,4265,2519,3491,4737,4527,4698,3792,2139,919,3372,4383,3162,6102,5498,3307,3202,3530
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,5,26,5,10,26,0,0,31,0,36,26,47,5,16,16,36,57,36,109,109,119,124,181,248,155,176,186,243,414,227,279,362,295,279,388,212,217,233,222,827,191,481,739,1241,1132,1111,1468,636,1877,2068,2481,2440,2838,2476,1742,2021,1794,1716,2068,3246,2047,414,1132,729,1949,1721,1892,2290,626,1478,1179,1354,1561,1256,1546,781,1168,1318,1877,1375,1995,1292,993,1298,1401,1391,1303,1360,853,476,631,688,729,1504,1055,620,465,672,967,987,946,905,563,527,775,719,657,739,900,1272,626,734,724,682,786,1101,817,527,594,1034,1173,812,925,1261,905,1173,1634,1334,786,1194,615,491,1354,1789,1520,1696,1846,1132,1132,1401,1323,1354,1778,2316,0,967,1582,1267,1184,1613,1737,1458,760,987,1215,1716,1086,2233,1670,1334,667,956,1329,1049,1654,2197,553,858,1649,1918,2057,1789,1649,1499,1184,1468,2120,2404,1091,750,388,486,2549,2280,2316,2476,1380,414,2275,1706,2269
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,15,0,7,0,7,0,7,44,29,66,96,37,74,74,103,169,51,213,147,221,199,397,0,169,0,1383,449,566,338,375,235,302,0,721,316,404,250,530,368,522,537,434,353,390,243,699,647,419,500,552,485,566,353,684,1118,794,706,544,353,735,743,706,449,471,625,625,441,552,816,640,294,250,662,0,1544,566,566,449,368,250,419,758,0,1191,758,250,441,338,603,0,1037,191,265,390,346,250,302,353,140,199,162,530,125,265,235,184,96,110,191,118,419,331,228,103,162,147,140,250,0,287,125,154,147,154,125,243,191,110,206,162,191,184,177,103,331,103,243,177,419,294,147,44,434,96,206,302,228,154,184,221,199,169,272,265,125,81,154,177,257,316,125,59,118,96,140,88,154,169,66,243,103,81,235,162,221,59,0,324,0,360,162,360,206,228,118,184,404,360,235,309,132,265,243
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,11,0,0,16,20,28,29,88,83,164,266,187,438,570,832,673,494,2172,1625,1708,2261,2728,2501,3077,3356,4912,5744,3935,4375,5208,4367,4454,4400,3702,3770,3158,4212,3061,4985,3917,3292,4553,3852,4110,3414,4572,3133,3718,3818,2266,3116,2825,2845,2739,2740,3447,1710,2726,1411,2012,2047,1832,1591,1435,927,888,1209,1259,1208,1455,2048,1156,1478,1005,1280,454,1100,1169,776,873,1348,1220,1012,1057,540,612,692,539,948,608,348,376,369,641,515,400,524,330,258,358,326,428,412,341,415,270,294,204,373,405,345,361,131,396,326,438,426,275,394,247,279,238,229,401,385,328,242,436,378,234,109,256,-1,220,289,629,346,511,572,538,512,566,557,240,777,406,341,299,0,839,418,394,427,383,292,483,431,515,572,570,387,351,370,390,229,322,484,288,254,349,336,341,373,382,298,386,432,357,423,504,365,348,381,302,373,474,528,510,332,372,501,421
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,24,14,0,38,10,24,33,38,67,38,81,62,81,114,234,110,124,224,162,224,196,424,243,386,296,515,339,591,482,401,334,482,0,0,1202,544,415,224,601,0,1140,792,692,663,305,472,720,1140,944,486,1044,558,858,510,720,968,811,472,405,906,601,668,639,715,0,186,1726,458,510,625,730,0,0,1722,429,568,520,582,601,296,520,515,0,925,916,596,668,582,196,701,467,649,410,396,453,405,444,401,482,510,453,606,668,649,944,1011,1002,878,820,768,601,1154,1149,1364,920,1188,1044,1364,1111,1421,1064,1207,1250,1073,1555,1412,1512,1259,1121,1164,1440,1402,1636,1469,1431,1202,1335,1335,1283,1183,1011,868,1049,529,1002,1021,963,873,682,949,615,935,825,811,820,663,506,391,343,763,863,506,396,1421,343,305,944,897,582,644,501,320,515,725,949,429,692,277,186,181,405,773,630,458,472,339,372,558
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,10,0,13,29,3,16,62,32,0,117,201,10,0,84,321,104,347,325,380,45,750,510,383,610,669,516,390,351,519,539,565,545,0,0,0,0,0,2273,445,545,318,286,422,477,432,480,565,308,273,247,484,289,114,1078,269,0,123,334,282,10,1130,214,75,461,630,321,536,250,221,0,812,0,1104,26,912,380,243,331,198,308,448,471,315,308,39,500,831,487,737,516,445,828,377,997,701,1003,672,269,1312,552,1032,1042,1321,987,1234,1347,1175,1711,1536,3185,2652,2396,1825,2094,2049,3198,2786,2737,1594,2841,1675,2367,2831,3026,2743,2698,3584,3062,4393,4477,3844,4175,3078,2646,3961,3805,3136,3013,3325,3237,3594,2828,3224,4107,3208,3636,3211,3305,2107,2367,3165,2880,2630,2409,1782,1711,1954,3571,2789,2263,2136,2140,1243,1666,4568,464,1727,1325,1302,808,1711,2130,1961,1445,929,101,2071,0,2691,1256,1643,1127,448,480,925,821,1318,1003,906,993,633
