countyFIPS,population_male,population_female,sex_ratio,under_18,over_18,over_or_62,median_age,total_housing
26037,39134,40198,97.4,17755,61577,17266,40.0,31967
26049,195968,210924,92.9,91553,315339,86808,40.9,192614
26087,44782,43246,103.6,18300,69728,20202,44.7,36804
26145,93393,97407,95.9,40848,149952,44876,40.9,87810
26147,79580,79757,99.8,33130,126207,38085,44.3,72380
27171,69510,66839,104.0,37831,98518,21730,37.8,52464
28059,71037,72240,98.3,33631,109646,27312,39.0,62727
29031,38155,40598,94.0,17037,61716,15548,36.0,34210
29095,338175,362132,93.4,165105,535202,130544,36.7,325973
30013,41630,40013,104.0,17900,63743,19261,37.7,39037
32003,1112618,1119029,99.4,517629,1714018,404922,37.6,913385
36001,149679,157438,95.1,56517,250600,65011,37.9,142306
36007,93150,98509,94.6,36745,154914,43959,40.2,91258
36019,42358,38337,110.5,14181,66514,16420,39.5,36732
36027,146156,147562,99.0,55347,238371,64558,42.5,121187
36029,444847,474872,93.7,186092,733627,202755,40.3,429704
36051,32028,31199,102.7,11279,51948,14244,42.3,27616
36061,770362,858339,89.8,232979,1395722,321233,37.6,886282
36091,113339,116824,97.0,46199,183964,48607,42.8,107379
36103,729779,751314,97.1,313018,1168075,307579,41.8,576845
37001,78955,87481,90.3,36955,129481,34378,39.8,71655
37023,45015,45367,99.2,17172,73210,22421,44.4,41316
37035,76611,82041,93.4,35042,123610,34702,41.3,69249
37045,46759,50886,91.9,21657,75988,22441,42.0,43673
37101,98113,104562,93.8,51796,150879,35095,38.0,77354
37125,48150,50532,95.3,20853,77829,28684,45.5,47931
37135,66535,79492,83.7,28863,117164,26364,35.6,59198
37179,115848,120060,96.5,63641,172267,37400,37.9,82559
38035,37447,33323,112.4,14928,55842,10942,30.3,33393
39009,33319,32499,102.5,9575,56243,10990,30.1,26681
39017,188087,194291,96.8,90001,292377,70748,37.3,152725
39023,65014,69571,93.4,30121,104464,31705,41.5,61307
39099,113227,116415,97.3,46144,183498,59908,43.3,111318
39109,52551,53671,97.9,24786,81436,25769,42.0,44352
39145,37439,38063,98.4,16503,58999,16325,40.3,34514
40027,140148,141521,99.0,60611,221058,45186,34.3,116901
40101,33349,35013,95.2,16640,51722,13656,38.4,30967
41005,205716,210359,97.8,89564,326511,90749,41.4,169238
41017,95592,96404,99.2,39129,152867,49058,43.2,91040
41035,33719,33934,99.4,14986,52667,17303,41.8,33682
42033,41645,37743,110.3,14681,64707,19297,45.2,39267
42101,750017,834121,89.9,344091,1240047,268427,34.5,688846
45019,196418,209487,93.8,79975,325930,80400,38.2,191893
45047,32504,38237,85.0,15422,55319,15187,40.7,31550
45051,166682,177465,93.9,61592,282555,100309,46.3,210700
45057,45837,49543,92.5,21139,74241,22899,41.9,38541
45077,63006,61931,101.7,23642,101295,23956,36.7,55067
47009,63586,67763,93.8,27124,104225,32575,43.7,58673
47093,225264,240025,93.9,97541,367748,89141,37.4,206056
47141,38688,40155,96.3,16043,62800,16000,36.8,34977
47163,76241,81427,93.6,30788,126880,42987,45.2,75724
48121,422997,436067,97.0,211996,647068,110770,35.8,319979
48257,62516,66106,94.6,35781,92841,20414,35.2,42483
48375,61240,58408,104.8,32795,86853,16910,34.0,50176
48381,67280,68991,97.5,32494,103777,25180,36.1,55241
48453,630777,617966,102.1,270535,978208,157121,34.5,527786
49011,177411,174302,101.8,112973,238740,46080,31.4,110428
51013,119798,117723,101.8,43013,194508,32175,34.7,116543
51061,34514,36161,95.4,16608,54067,14766,40.6,27150
53027,37073,36828,100.7,15099,58802,19386,44.5,36434
55071,39951,39123,102.1,16065,63009,19759,45.2,37578
55139,86310,84710,101.9,34900,136120,33963,38.8,76015
72031,67442,80219,84.1,26204,121457,39412,44.0,76568
72127,146687,174280,84.2,55776,265191,85407,44.2,190579
72139,30372,33374,91.0,11953,51793,14539,40.6,29294
72013,39195,42919,91.3,14800,67314,20940,43.0,41064
72097,34359,37627,91.3,12186,59800,20746,42.6,39901
1051,39988,41899,95.4,18562,63325,15329,38.4,34416
1097,197009,216748,90.9,96777,316980,80413,38.1,184687
1115,44933,43757,102.7,20437,68253,18725,40.4,37190
4003,64995,61775,105.2,27247,99523,34210,41.0,61318
4005,70521,72333,97.5,29455,113399,22956,30.8,66838
5045,60576,64230,94.3,28872,95934,19812,32.9,50520
5131,63266,64487,98.1,30526,97227,24056,38.6,57229
6013,562983,587232,95.9,259788,890427,222905,40.0,415955
6019,495950,498450,99.5,281820,712580,148527,32.5,333809
6023,68722,67651,101.6,26135,110238,30861,38.5,63308
6039,76573,81099,94.4,43123,114549,27048,34.3,50971
6055,69694,69723,100.0,28904,110513,32026,41.1,55465
8013,163621,162457,100.7,62140,263938,58643,36.6,137465
8041,360752,353104,102.2,172062,541794,114214,34.3,275393
8059,288616,291617,99.0,114518,465715,118125,40.3,243016
12019,108064,108008,100.1,50354,165718,43022,39.6,81807
12031,459916,490265,93.8,214790,735391,166771,36.3,412591
12055,50863,54561,93.2,18396,87028,41736,53.2,55760
12073,138408,154094,89.8,54454,238048,48577,31.3,131203
12103,467767,507513,92.2,157685,817595,287552,48.5,510120
12131,34634,36741,94.3,14377,56998,17904,44.4,53376
13051,139000,150195,92.5,61165,228030,52986,36.0,125687
13063,135117,154498,87.5,80557,209058,34816,32.4,105874
13113,55380,58079,95.4,26094,87365,24874,43.5,43032
13223,79993,84051,95.2,43620,120424,20770,35.9,58043
13255,31881,34219,93.2,15812,50288,14325,39.8,27580
15009,82282,84936,96.9,36038,131180,38045,41.1,73786
17043,456716,471873,96.8,210579,718010,180086,39.5,361414
17089,266324,267892,99.4,135996,398220,89754,37.7,189475
17093,62401,65514,95.2,36412,91503,17027,35.2,42209
18003,184016,191335,96.2,96408,278943,66621,36.1,159269
18089,234684,249727,94.0,113030,371381,100700,39.1,213773
21059,49475,51629,95.8,24701,76403,20692,38.0,43375
21185,34749,31721,109.5,17124,49346,10814,39.2,22293
22005,61257,63415,96.6,33250,91422,18429,35.8,48685
23005,142838,150719,94.8,54503,239054,67396,42.1,145725
25009,381869,408769,93.4,168346,622292,166222,41.1,313969
26017,51291,52632,97.5,21083,82840,25790,43.3,48345
26159,37805,37643,100.4,17288,58160,17711,42.2,37379
26161,184270,186693,98.7,68935,302028,63599,33.6,151576
26163,844941,908952,93.0,414230,1339663,338541,38.1,815884
28089,50119,55511,90.3,26401,79229,17907,37.3,44040
29021,45106,43465,103.8,19704,68867,19089,39.2,38800
29077,140932,150991,93.3,60958,230965,58117,36.6,134555
29165,50777,52208,97.3,24332,78653,18447,38.1,42374
32031,234654,231081,101.5,100775,364960,97240,38.4,201065
33013,74012,77120,96.0,28595,122537,34180,43.4,65246
33015,152965,156211,97.9,60249,248927,69121,44.8,133207
34015,140687,150721,93.3,63477,227931,56546,40.8,113907
34029,290185,311466,93.2,143989,457662,160867,42.7,284918
34039,272272,285795,95.3,130521,427546,99459,38.8,202668
35031,34525,37765,91.4,20836,51454,11833,32.3,26344
36009,38067,38773,98.2,16725,60115,18474,42.4,41648
36011,39764,37381,106.4,15264,61881,17475,42.4,37162
36047,1223278,1359552,90.0,588823,1994007,441486,35.4,1053667
36053,34819,35976,96.8,13477,57318,16439,42.4,32391
36055,358147,384327,93.2,154216,588258,160356,39.2,329236
36109,51465,51328,100.3,15467,87326,19140,30.8,43883
37027,41480,40549,102.3,16489,65540,19227,43.7,38062
37063,151423,165316,91.6,65685,251054,52806,35.6,138960
37089,56330,60418,93.2,22053,94695,34899,48.3,58099
37159,71297,69965,101.9,31435,109827,30220,40.3,61973
37191,60885,62363,97.6,29155,94093,25572,38.5,54467
39029,51589,51076,101.0,20872,81793,25566,44.4,46848
39045,77951,77831,100.2,37178,118604,29966,39.9,61550
39057,82995,85000,97.6,34891,133104,35219,37.9,70856
39139,60963,60136,101.4,25845,95254,28400,41.5,54173
41003,46488,45613,101.9,14770,77331,17709,33.2,38442
41033,43294,44099,98.2,16840,70553,26788,47.9,39354
41059,39788,37728,105.5,19889,57627,13813,37.2,30681
41067,296224,301471,98.3,136616,461079,101004,36.9,232449
42007,80056,84686,94.5,31834,132908,42645,45.6,79662
42025,31550,32677,96.6,12232,51995,15975,46.9,34820
42037,31765,33691,94.3,11380,54076,15441,41.0,30320
42045,272087,292664,93.0,123763,440988,113729,39.0,224876
42069,101590,109203,93.0,43178,167615,50191,42.1,100707
42073,41919,44265,94.7,16795,69389,22805,45.5,41321
45003,83093,86308,96.3,36664,132737,39382,41.3,77687
45031,33149,33653,98.5,14925,51877,16720,41.1,30875
45041,63556,74603,85.2,32696,105463,28290,38.3,61109
45079,200692,213884,93.8,88465,326111,66753,33.5,175056
47157,445278,490486,90.8,233189,702575,165423,36.0,406236
48005,42997,44095,97.5,22101,64991,17440,38.9,36995
48157,386679,401179,96.4,215824,572034,114558,36.6,260764
48181,65122,68869,94.6,31346,102645,28131,40.1,56735
48213,38865,43434,89.5,17675,64624,22179,43.1,41483
48451,59451,58738,101.2,28181,90008,21973,33.9,48619
49035,577402,575231,100.4,312887,839746,158750,32.9,403687
51019,38605,40142,96.2,15719,63028,20729,46.3,37001
51177,66295,67943,97.6,33189,101049,24781,37.4,48147
53021,48874,45473,107.5,30919,63428,11826,30.3,28659
53025,49789,47542,104.7,28290,69041,18097,33.4,37969
53057,63062,65144,96.8,27977,100229,32008,41.4,54451
53067,139657,146762,95.2,61381,225038,60442,38.8,117860
54039,87033,93421,93.2,35252,145202,46861,44.0,92334
55025,268975,273389,98.4,110871,431493,91293,35.3,236932
55109,44329,45365,97.7,22503,67191,15332,39.7,36308
1003,105437,112585,93.7,47156,170866,53676,44.0,116632
1077,45646,46741,97.7,17876,74511,22017,41.1,45468
1083,49198,46976,104.7,22441,73733,17622,38.8,36535
5051,47098,52056,90.5,19787,79367,28063,44.6,51025
5125,59537,61884,96.2,28207,93214,25563,39.2,49326
8069,174084,176434,98.7,68998,281520,67584,36.4,151840
12001,131429,138527,94.9,48712,221244,46052,31.7,118966
12015,90140,94858,95.0,22207,162791,85186,59.8,105164
12057,702808,734080,95.7,323828,1113060,253118,37.1,590847
12069,171434,185061,92.6,68110,288385,109322,47.3,160472
12083,171353,188624,90.8,65788,294189,120229,49.1,170513
12091,104314,102955,101.3,46397,160872,40735,36.8,97971
12097,179155,188835,94.9,89970,278020,58414,35.7,153495
12117,225955,241877,93.4,98391,369441,88933,39.2,192255
12127,267254,280284,95.4,96391,451147,157034,46.6,262107
13059,61122,66208,92.3,21439,105891,18683,28.2,53144
13073,75105,79186,94.8,39146,115145,25754,36.2,58740
13095,42037,49206,85.4,21221,70022,16467,35.0,40590
13151,109288,120932,90.4,58951,171269,33098,37.6,82826
13153,77540,77929,99.5,38789,116680,22893,36.1,63959
13313,51621,52441,98.4,27387,76675,17912,37.0,40145
16019,58838,58016,101.4,36116,80738,18536,33.4,43773
17119,129143,135318,95.4,57464,206997,55872,40.1,119625
17183,38315,38491,99.5,18046,58760,17802,40.4,36125
17197,343985,348325,98.8,171783,520527,112536,38.1,245197
18043,37644,40137,93.8,17558,60223,15636,39.5,33022
18105,72119,74798,96.4,22965,123952,22730,29.4,62067
18141,131804,138967,94.8,64262,206509,53125,37.0,117089
19163,85093,88190,96.5,41322,131961,34322,38.3,74655
19169,50223,47882,104.9,16321,81784,13598,26.4,40766
21093,55818,54538,102.3,27112,83244,19360,36.6,47058
22071,185255,205751,90.0,78124,312882,72993,37.3,191620
22109,53314,57707,92.4,28293,82728,20401,36.1,45709
23003,32867,34244,96.0,12567,54544,20089,48.5,39986
23019,75100,75996,98.8,26744,124352,33882,42.2,76144
24005,392736,435695,90.1,178822,649609,176888,39.5,337245
24015,50795,52031,97.6,23118,79708,21866,41.3,42674
24037,55523,57141,97.2,27201,85463,18702,37.5,45998
24043,77920,73006,106.7,32970,117956,31559,39.6,61621
25001,101183,112230,90.2,32580,180833,77074,53.8,164329
25021,338835,366553,92.4,147526,557862,146246,40.7,280289
26111,40637,42572,95.5,18229,64980,19060,41.8,37115
26115,74423,76016,97.9,32182,118257,33635,42.5,64803
26125,616837,642364,96.0,264031,995170,262825,40.8,542836
27145,80139,79117,101.3,36702,122554,29454,34.9,65280
27163,128302,130899,98.0,63648,195553,48279,39.6,99481
34001,129633,135796,95.5,56422,209007,58152,41.9,128408
34023,409784,419901,97.6,179932,649753,152996,38.7,302255
34027,241619,252609,95.6,104082,390146,105001,42.7,194256
34033,30819,31788,97.0,13607,49000,14388,41.6,27608
34035,161936,169228,95.7,72516,258648,66837,41.7,127016
34037,70186,70613,99.4,28019,112780,30069,44.6,62472
35005,32254,32435,99.4,16484,48205,13095,36.9,27428
35013,106963,110559,96.7,52231,165291,42862,33.6,89060
35061,39134,37322,104.9,17895,58561,17077,39.7,31409
36065,113987,115590,98.6,48649,180928,52222,41.0,105447
36075,59222,58676,100.9,24424,93474,23360,39.4,54624
36081,1105577,1173329,94.2,458368,1820538,435146,39.2,865809
36085,230765,245414,94.0,104037,372142,98085,40.1,181186
36101,48423,47373,102.2,20389,75407,22620,42.9,49684
36119,468837,498775,94.0,211845,755767,200656,40.9,375864
37097,87384,91051,96.0,41060,137375,34649,40.0,75611
37109,41363,42407,97.5,17649,66121,17293,44.7,36768
37147,83813,96101,87.2,38427,141487,30303,32.2,80244
38017,93155,88361,105.4,40853,140663,27616,32.4,83903
38101,36023,31721,113.6,15949,51795,10422,31.4,33203
39101,34660,30596,113.3,13958,51298,13776,41.3,27907
39173,64457,66239,97.3,26382,104314,24792,35.2,54092
41051,402662,409218,98.4,152900,658980,134840,37.6,353878
41071,52963,54039,98.0,23716,83286,21878,38.5,39394
42003,588659,629793,93.5,227749,990703,282762,40.5,602410
42011,205971,214181,96.2,93630,326522,87689,40.2,167383
42021,65065,66665,97.6,25226,106504,35865,45.9,66035
42071,265726,277831,95.6,127711,415846,119696,38.7,212243
42107,73336,68731,106.7,28190,113877,35236,44.6,69918
42129,171859,178752,96.1,64119,286492,97526,47.4,170772
45035,78351,82296,95.2,39214,121433,26993,37.4,61654
45083,151082,162806,92.8,72372,241516,60765,38.0,131448
47155,48788,49104,99.4,20174,77718,22611,43.0,58279
48099,37030,37778,98.0,17218,57590,9185,32.9,26850
48231,47884,48609,98.5,23048,73445,19461,38.8,38087
48339,294399,296526,99.3,155734,435191,95049,37.5,222600
48367,68668,69703,98.5,34227,104144,26685,39.5,50820
48485,67373,64691,104.1,29552,102512,23973,34.5,56007
51015,38441,37016,103.8,14362,61095,19348,45.3,32723
51087,156568,172693,90.7,74468,254793,64607,39.3,138176
51121,51636,47349,109.1,14304,84681,15452,28.4,40710
51550,118384,124250,95.3,58199,184435,39643,37.1,91783
51650,64444,69869,92.2,27543,106770,24932,36.6,60096
51760,107729,121054,89.0,39707,189076,38011,34.0,101081
51770,47479,52441,90.5,22229,77691,20920,38.1,47009
53029,42186,42274,99.8,14684,69776,24801,44.2,42274
54011,44918,48306,93.0,18444,74780,20062,38.3,46324
55027,45847,42000,109.2,17381,70466,18868,43.0,37912
55035,52101,52433,99.4,20982,83552,20247,34.5,44400
55039,50550,52516,96.3,22030,81036,23221,41.3,45361
55063,57208,61022,93.7,23383,94847,23813,36.5,50573
55141,36342,36713,99.0,15666,57389,18315,43.9,35186
72061,40174,43613,92.1,13345,70442,22276,45.7,40082
1049,35048,36337,96.5,17145,54240,15204,39.5,31656
1073,312159,347141,89.9,149547,509753,131563,38.2,309579
4013,2181974,2228850,97.9,1052785,3358039,815127,36.6,1762981
4025,113011,118982,95.0,37293,194700,87115,54.4,118410
5069,33440,34674,96.4,14884,53230,14620,40.1,33382
5145,38110,40617,93.8,18295,60432,14390,36.9,33954
6007,113736,117520,96.8,46212,185044,52348,37.5,100038
6017,94527,96151,98.3,38012,152666,51075,46.6,91094
6025,93655,88172,106.2,50831,130996,27640,33.1,57893
6029,459769,436995,105.2,258952,637812,125407,32.0,300423
6041,127299,132367,96.2,51861,207805,70374,47.4,113175
6047,138520,136245,101.7,80340,194425,38211,31.4,85766
6079,143754,140256,102.5,49675,234335,70096,39.6,122971
6081,381684,387861,98.4,158477,611068,152539,39.9,279468
8014,34710,34557,100.4,15867,53400,11698,37.5,28935
9011,133585,133199,100.3,51733,215051,59891,42.4,123618
12009,289611,307238,94.3,109627,487222,169932,47.2,280390
12035,53523,58544,91.4,19130,92937,40309,51.8,52534
12071,369892,384718,96.1,132674,621936,247414,48.8,399741
12105,347083,360926,96.2,156486,551523,167462,40.2,299432
17019,105260,104723,100.5,39285,170698,34061,30.3,93407
17091,54768,55256,99.1,25195,84829,23004,37.5,45644
17167,94821,100527,94.3,43207,152141,43701,40.7,91928
17201,138909,145172,95.7,66289,217792,60932,39.5,125731
18005,41162,41591,99.0,19690,63063,16203,37.2,34532
18057,160882,169204,95.1,89053,241033,51904,37.7,129530
19153,240482,246722,97.5,121315,365889,79142,35.8,204626
20209,81865,83459,98.1,46120,119204,25518,34.3,68301
21029,40530,40539,100.0,17244,63825,16619,40.8,31948
21111,372347,398170,93.5,170794,599723,153452,38.6,347119
21151,45221,47147,95.9,18481,73887,15599,34.5,37060
22015,62135,65050,95.5,31590,95595,22222,35.4,57836
22045,34109,36832,92.6,18154,52787,12904,37.4,30735
22103,126257,131854,95.8,61900,196211,53337,40.8,104838
24001,37941,33034,114.9,12257,58718,16775,42.3,32830
24009,46221,45782,101.0,21300,70703,17160,40.4,35420
24025,124169,129787,95.7,56172,197784,52075,40.9,100963
25005,273114,290908,93.9,116098,447924,118849,40.9,236308
26021,75406,78735,95.8,33571,120570,37757,42.1,77645
26025,66126,68361,96.7,30702,103785,28945,40.4,60879
26073,34312,36250,94.7,11806,58756,11738,29.0,29272
26093,95923,95301,100.7,40751,150473,42355,44.0,77018
26103,33223,33293,99.8,12450,54066,15814,39.0,34937
28035,36931,38105,96.9,17556,57480,13101,33.1,33218
29019,87634,92371,94.9,36539,143466,27949,30.4,78945
30031,57812,54064,106.9,22863,89013,18026,33.8,51000
34003,454629,482063,94.3,198333,738359,196061,42.0,359241
34025,302643,318711,95.0,131726,489628,135313,43.6,262157
34031,245652,257658,95.3,119860,383450,90899,37.4,177277
34041,52001,53778,96.7,20785,84994,23851,44.8,45558
35043,71165,74014,96.2,33582,111597,31385,40.9,57318
36093,76212,79138,96.3,33337,122013,33627,39.8,69948
37031,34225,35299,97.0,12343,57181,21241,48.9,50719
37119,526422,567479,92.8,257714,836187,155387,35.2,454104
37155,64164,67667,94.8,32772,99059,25707,36.9,53186
37157,43957,46733,94.1,18386,72304,23498,44.3,44290
39003,52122,50541,103.1,23083,79580,22086,40.0,45192
39043,36773,37842,97.2,15144,59471,18744,44.8,37907
39055,46724,47307,98.8,21318,72713,23307,44.9,37335
39119,42143,44040,95.7,19683,66500,18550,40.9,37948
39133,79341,83586,94.9,29604,133323,33688,39.1,69335
39155,96599,102028,94.7,40677,157950,51637,44.6,95669
40145,39632,40478,97.9,19503,60607,16142,39.3,32881
41043,62661,64674,96.9,27940,99395,29575,39.8,50891
41047,174987,171881,101.8,85970,260898,68244,36.8,127325
41053,40945,44289,92.4,19235,65999,18471,37.4,32511
42017,308124,320071,96.3,128214,499981,144104,44.0,251507
42019,93038,94850,98.1,37515,150373,44600,43.7,84242
42027,85370,77435,110.2,24527,138278,28061,31.6,67155
42043,134626,142471,94.5,62354,214743,58804,40.0,124803
42049,133664,138397,96.6,58107,213954,60370,40.0,121615
42079,156745,160901,97.4,62768,254878,76476,43.2,150280
42089,83749,85758,97.7,33486,136021,36987,42.5,81664
42095,149975,154832,96.9,60924,243883,69254,42.4,123428
42125,101092,106254,95.1,40241,167105,51951,44.3,96225
44005,41380,41162,100.5,13595,68947,22920,45.7,42682
44009,61384,64795,94.7,20408,105771,32156,45.0,64332
45055,32806,32786,100.1,15115,50477,14850,41.8,29375
45059,33066,33928,97.5,14560,52434,15745,41.5,31494
45073,38805,39569,98.1,15586,62788,22216,45.6,40812
45075,40963,45971,89.1,18752,68182,20137,39.4,42794
47001,36937,39545,93.4,16147,60335,18819,42.9,35020
48029,980600,1005449,97.5,508269,1477780,297466,33.8,700241
48091,73782,74591,98.9,33673,114700,33415,40.7,60949
48187,81228,82466,98.5,41020,122674,27358,37.0,60138
48215,425393,440546,96.6,281292,584647,117037,29.5,281655
48329,86130,86448,99.6,49279,123299,23474,31.7,61872
48361,41520,42052,98.7,20803,62769,16703,38.4,37740
48497,34125,34180,99.8,16842,51463,13314,37.9,24925
51085,52446,54793,95.7,23714,83525,23245,42.8,41865
51107,201651,205199,98.3,114958,291892,47598,36.4,136509
53009,38390,38347,100.1,13075,63662,26223,50.6,37331
53035,138086,131719,104.8,55256,214549,59085,39.2,113732
53061,407880,407021,100.2,184546,630355,139020,37.8,313822
55055,42442,42687,99.4,18054,67075,17349,42.1,36004
55079,459198,489003,93.9,227433,720768,163495,35.1,419585
55087,92975,94390,98.5,44127,143238,33751,38.2,77597
55101,97477,99107,98.4,45350,151234,39796,39.6,82908
72021,80211,90269,88.9,29655,140825,43714,43.5,82901
72113,63943,69248,92.3,25672,107519,35167,42.5,65299
72135,34421,36673,93.9,14081,57013,12265,40.1,26421
72137,34856,39767,87.7,14009,60614,17405,42.0,34796
