,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Estonia,0,0,0,0,0,0,0,0,8,69,1470,1109,2736,2963,1688,1531,844,423,286,324,303,346,527,258,53,47,54,151,54,130,317,589,257,626,754,1176,1258,1831,2458,2639,2005
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,9,9,26,52,78,119,98,103,47,120,213,377,413,374,673,940,869,654,447,428,368,477,495
Fiji,0,0,0,0,0,0,0,0,0,0,0,44,11,100,22,22,0,0,0,0,0,0,0,0,0,0,11,78,0,11,0,0,11,0,0,33,11,0,0,0,0
Finland,0,0,0,0,2,0,0,0,9,62,419,773,1106,1557,1602,1451,1493,1141,1185,715,394,517,210,192,65,117,120,33,85,104,122,244,273,335,269,434,542,756,1243,1746,2726
France,0,0,0,0,0,1,0,0,25,189,799,2026,3783,4572,3630,2540,1703,933,1172,517,365,1042,323,487,518,537,625,620,671,969,1258,1760,2491,3957,5540,7346,8927,10848,12958,12506,18263
French_Polynesia,0,0,0,0,0,0,0,0,0,0,0,819,463,179,498,36,72,0,71,0,0,0,0,0,0,71,0,0,0,0,0,0,5306,3524,7725,6551,11606,10501,11890,20006,34211
Gabon,0,0,0,0,0,0,0,0,0,0,4,22,4,62,160,282,408,701,1955,2831,3159,2337,2660,3531,3172,2943,1569,1271,1829,3396,2053,1618,1186,624,557,336,206,225,216,251,233
Gambia,0,0,0,0,0,0,0,0,0,0,0,8,8,0,21,4,0,29,20,8,4,0,12,8,46,24,58,12,199,885,712,3050,2635,2950,1564,968,860,560,119,104,176
Georgia,0,0,0,0,0,0,0,0,9,31,47,72,94,227,212,325,239,241,115,161,74,165,41,168,82,44,77,105,101,266,94,207,219,177,167,494,1775,3812,4895,7095,8963
Germany,0,0,0,0,0,0,0,0,15,117,581,2769,3903,4454,3088,2191,1538,899,794,561,452,360,302,274,480,405,321,290,355,465,603,805,970,1040,1045,1037,1130,1480,1582,1891,3126
Ghana,0,0,0,0,0,0,0,0,0,0,2,7,41,43,90,154,163,377,638,332,345,406,593,662,705,1028,1199,1258,1108,1672,1349,1093,464,312,218,231,190,148,135,111,65
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,4452,16027,11872,5936,1188,2374,890,891,0,2375,4453,1782,0,0,297,594,297,0,1485,891,2672,5937,9201,10983,8904,4452,5935,9498,14840,16029
Greece,0,0,0,0,0,0,0,0,7,74,258,330,496,521,375,96,278,94,90,105,45,36,124,82,147,99,165,254,179,208,490,971,1413,1533,1438,1291,1687,2085,2024,2336,2409
Greenland,0,0,0,0,0,0,0,0,0,0,0,704,1056,176,0,0,0,0,0,0,176,176,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,352
Grenada,0,0,0,0,0,0,0,0,0,0,0,89,711,267,178,0,356,267,0,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,89
Guam,0,0,0,0,0,0,0,0,0,0,0,1717,1836,3079,1303,118,473,295,177,118,711,532,295,355,2310,1895,2723,532,888,1303,1540,3494,8472,19552,28914,16353,15167,13035,14398,21507,24707
Guatemala,0,0,0,0,0,0,0,0,0,0,4,8,10,21,52,71,132,112,214,495,984,880,1210,1546,1951,2033,3663,3220,5190,3357,3623,3039,3325,3120,3091,2095,2424,1959,2557,2187,2034
Guernsey,0,0,0,0,0,0,0,0,0,0,0,2982,3728,17896,8052,2984,1193,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,447,0,149,149
Guinea,0,0,0,0,0,0,0,0,0,0,1,1,11,86,146,232,413,417,382,444,364,432,284,271,317,276,216,384,341,354,235,431,525,300,302,296,199,216,194,153,199
Guyana,0,0,0,0,0,0,0,0,0,0,51,13,38,293,203,241,102,229,217,191,165,203,13,63,586,382,546,280,472,662,1080,1195,1793,3127,4464,3230,4119,6586,4895,5098,4234
Haiti,0,0,0,0,0,0,0,0,0,0,0,5,9,9,15,16,18,21,95,284,464,1019,1151,792,676,632,383,311,294,242,151,121,217,188,100,122,119,110,101,70,55
Honduras,0,0,0,0,0,0,0,0,0,0,8,22,111,164,102,87,200,488,836,800,1405,1184,1100,2754,4219,5515,5904,3951,6089,5178,4093,4118,3153,4527,5588,3835,3842,3488,3495,4526,4434
Hungary,0,0,0,0,0,0,0,0,0,9,41,142,315,336,720,606,569,431,257,251,223,156,97,63,30,38,44,59,104,112,91,193,248,229,982,2923,4337,6569,6281,6967,7830
Iceland,0,0,0,0,0,0,0,0,176,1729,3927,11399,14593,13949,4366,1818,557,205,59,29,58,58,29,117,117,205,294,29,176,439,1786,1377,1524,1729,998,1056,732,6124,8381,9289,17641
India,0,0,0,0,0,0,0,0,0,0,0,2,7,22,44,60,77,122,177,221,321,387,491,552,703,917,1107,1356,1800,2376,2701,2992,3145,3367,3797,4270,4709,4582,4223,3910,3557
Indonesia,0,0,0,0,0,0,0,0,0,0,5,15,32,39,76,81,85,92,97,137,174,153,186,265,277,302,361,439,411,443,470,509,523,513,707,810,898,999,1091,1038,1081
Iran,0,0,0,0,0,0,0,7,171,673,932,959,2195,2263,1526,1214,948,854,1267,1571,1814,1993,2308,1909,2100,2104,2126,1976,1970,2073,2194,2002,1978,1602,1941,1617,1886,2481,2913,3061,3405
Iraq,0,0,0,0,0,0,0,0,3,10,16,34,90,99,86,49,69,123,118,184,269,556,1643,1948,2823,3599,3760,4340,3719,4449,4799,5399,6596,6925,6700,7397,7408,7055,7635,7305,5590
Ireland,0,0,0,0,0,0,0,0,2,40,409,1828,3614,4969,10699,10136,8094,4200,2863,2157,1008,738,294,229,124,160,138,217,259,254,639,1133,1104,1627,1407,1949,2871,3907,4571,6425,9722
Isle_of_Man,0,0,0,0,0,0,0,0,0,0,0,1530,3411,11408,12113,6821,941,1999,589,589,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,235,118,0,471,236
Israel,0,0,0,0,0,0,0,2,9,33,256,1366,3502,5121,3098,2457,2026,901,302,134,131,561,1006,1445,2015,3881,7793,10913,12759,14769,12068,11922,11445,11477,13827,20811,29259,37214,47006,45108,26258
Italy,0,0,0,0,0,0,0,37,298,1180,3111,5945,6255,5095,4459,3591,3008,2072,1303,1005,707,503,345,333,238,284,228,234,230,275,321,429,564,1003,1475,1581,1650,1776,1960,2681,5289
Jamaica,0,0,0,0,0,0,0,0,0,0,35,30,65,70,48,508,476,362,116,51,122,108,37,74,149,112,133,74,168,149,175,426,331,1630,2515,2790,2533,4016,3449,2934,2706
Japan,0,0,0,0,0,0,3,7,10,22,24,23,66,155,296,275,195,131,51,39,20,25,23,30,30,50,109,177,278,336,779,662,612,566,417,304,295,275,242,281,287
Jersey,0,0,0,0,0,0,0,0,0,0,0,1782,4452,10488,4749,3167,3365,990,99,891,396,99,396,396,198,99,594,396,198,297,495,792,990,693,990,990,198,990,1188,2276,4750
Jordan,0,0,0,0,0,0,0,0,1,0,15,96,154,81,42,34,24,16,97,67,82,35,85,146,63,86,39,16,40,-45,42,50,129,235,388,437,1029,1487,4097,8075,8437
Kazakhstan,0,0,0,0,0,0,0,0,0,0,6,27,140,183,270,410,485,672,597,806,1180,1387,800,1127,1618,1911,14840,6430,6238,5955,8215,7150,4513,2923,2202,1389,1271,1040,954,837,1016
Kenya,0,0,0,0,0,0,0,0,0,0,0,2,6,20,9,13,14,24,39,40,69,138,156,162,199,259,349,414,646,782,859,805,639,407,306,185,177,172,202,238,403
Kosovo,0,0,0,0,0,0,0,0,0,0,83,233,254,419,978,1127,974,358,206,481,258,373,791,1821,3109,3017,3669,8331,3928,7946,8465,7088,5827,5183,4694,3881,2525,2328,1955,1521,1668
Kuwait,0,0,0,0,0,0,0,12,119,21,136,154,180,935,1487,1628,3028,4660,9386,14999,14696,13570,11118,9182,9039,12254,11990,11390,9963,10810,9180,9603,10366,9678,9715,12358,11907,10518,9407,8457,10070
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,25,104,220,309,245,181,207,297,315,345,578,322,639,1605,2723,4361,5206,25617,8572,5666,4465,2592,1683,1094,871,616,940,1502,1957,3176
Laos,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,5,26,161,765,1039,881,599,447,419,413,266,332,213,116,90,48,74,31,52,249,95,148,138,249,158,74,313,175,255,259,907,2274,3388
Lebanon,0,0,0,0,0,0,0,1,16,41,116,215,262,139,134,65,48,44,175,105,275,167,172,166,203,207,206,782,712,1431,1729,2565,3700,5593,6084,5153,5905,7516,10673,12285,13138
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,9,0,0,108,298,663,588,681,994,294,770,322,327,294,453,836,658,550,569
Liberia,0,0,0,0,0,0,0,0,0,0,2,4,0,22,90,80,68,66,90,36,72,62,148,254,300,238,240,263,165,120,94,52,74,26,28,14,20,30,12,24,34
Libya,0,0,0,0,0,0,0,0,0,0,0,0,11,14,10,36,14,3,1,1,13,135,148,286,152,278,412,678,653,1262,1799,2151,4422,3537,4304,7084,6812,7685,6429,6148,9291
Liechtenstein,0,0,0,0,0,0,0,0,0,262,1573,10226,4719,3671,786,262,262,0,0,0,0,0,0,0,0,0,524,0,524,0,524,0,1310,1835,1835,0,786,786,1048,2884,5243
Lithuania,0,0,0,0,0,0,0,0,4,0,58,594,1121,1319,834,1029,363,-110,242,227,323,157,154,195,102,54,92,122,268,264,371,532,628,872,857,712,1051,1573,2484,2919,3539
Luxembourg,0,0,0,0,0,0,0,0,16,64,1215,12685,17779,13658,7173,4250,2733,1583,960,944,736,416,336,512,784,2157,4570,6613,10368,11439,8675,5623,4041,5191,-17843,4361,4696,10735,7349,8771,12877
Madagascar,0,0,0,0,0,0,0,0,0,0,0,6,9,12,10,5,2,7,13,50,79,103,97,72,127,180,401,659,750,917,712,557,247,185,167,177,151,110,100,79,57
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,11,4,9,8,17,123,57,59,129,221,309,320,321,347,295,210,209,182,78,30,40,19,20,13,16
Malaysia,0,0,0,1,1,4,1,0,2,27,136,298,342,359,316,188,122,165,116,66,147,137,145,51,28,16,10,17,24,32,30,28,37,19,20,36,151,101,234,550,1052
Maldives,0,0,0,0,0,0,0,0,0,74,166,0,73,36,18,905,2681,6233,6400,3864,5345,8027,1608,2756,2810,2200,2865,5012,3773,7454,17092,15982,13911,18554,16574,15889,10655,9747,7157,7582,6954
Mali,0,0,0,0,0,0,0,0,0,0,0,0,8,14,36,60,79,85,65,79,91,127,115,154,49,104,77,39,29,17,13,14,32,32,32,44,31,42,32,48,51
Malta,0,0,0,0,0,0,0,0,0,68,612,1744,1109,1925,3239,1065,408,679,522,1245,1202,182,249,452,341,113,46,46,46,544,1903,5050,8313,6681,4916,4348,7451,8404,5187,7271,11709
Mauritania,0,0,0,0,0,0,0,0,0,0,2,2,6,2,2,0,0,2,0,157,336,631,897,2022,2360,2504,1570,1024,1222,534,327,376,437,438,308,202,330,191,172,126,58
Mauritius,0,0,0,0,0,0,0,0,0,0,0,284,723,913,628,32,32,0,0,0,16,8,16,0,24,8,8,0,8,8,0,0,16,0,79,0,39,48,0,110,181
Mexico,0,0,0,0,0,0,0,0,0,0,5,23,56,105,199,292,524,728,886,1187,1510,1732,2069,2341,2703,2756,3187,3311,3488,3575,3748,3259,3095,2945,2780,2943,2653,2239,2569,2432,4340
Moldova,0,0,0,0,0,0,0,0,0,2,69,198,468,1653,1852,2072,2314,1901,1853,2833,2500,3007,3587,5136,6158,4943,3841,3800,4155,5055,5770,5847,6287,8555,7664,7773,7813,8898,10901,14147,14173
Monaco,0,0,0,0,0,0,0,0,255,0,2039,3313,3568,4076,3058,255,255,0,0,255,0,0,0,0,255,510,1274,255,0,1275,1020,2294,1530,3822,5861,3823,6115,4587,4333,2804,3313
Mongolia,0,0,0,0,0,0,0,0,0,3,0,27,6,9,3,55,12,9,3,299,3,134,27,9,54,15,0,70,134,6,12,0,15,0,18,18,3,6,0,6,15
Montenegro,0,0,0,0,0,0,0,0,0,0,0,431,1019,2262,653,606,144,32,16,0,0,0,0,32,654,2133,5413,9744,6496,16432,6497,6290,6194,4665,7276,13121,19759,30919,25459,30539,26924
Montserrat,0,0,0,0,0,0,0,0,0,0,0,2000,8002,2000,10002,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0
