,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Saint_Vincent_and_the_Grenadines,0,0,0,0,0,0,0,0,0,0,90,0,0,541,451,0,270,180,0,0,90,721,90,0,180,0,0,541,1352,180,270,180,90,0,180,180,180,0,0,0,0
San_Marino,0,0,0,0,0,0,0,0,2358,12081,15618,25045,12376,14144,23277,31233,22394,12965,13554,7662,3537,6188,0,2063,1178,0,0,295,0,0,0,3241,0,0,1473,295,1768,295,1179,1473,5893
Sao_Tome_and_Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,183,7574,1734,1551,2418,8441,1369,6707,1871,503,366,502,639,5430,411,183,320,320,183,92,365,92,137,91,730
Saudi_Arabia,0,0,0,0,0,0,0,0,0,4,33,123,254,307,693,1595,2392,2829,3550,4692,5012,3546,5211,7688,8318,7306,7835,6144,5239,4476,3205,2830,2863,2512,2045,1672,1339,1144,978,895,818
Senegal,0,0,0,0,0,0,0,0,1,2,14,31,50,38,40,52,213,319,368,392,351,364,410,446,476,435,467,431,448,488,371,553,554,463,359,241,176,258,110,122,102
Serbia,0,0,0,0,0,0,0,0,0,1,82,242,828,2079,2724,3787,2417,1885,911,768,725,349,685,692,916,1908,3135,3261,3843,4243,3395,2663,2233,1370,1017,786,729,737,700,716,1400
Seychelles,0,0,0,0,0,0,0,0,0,0,407,305,305,0,0,102,0,0,0,0,0,0,0,0,0,0,7118,1932,814,610,0,1220,102,508,407,102,305,305,0,509,0
Sierra_Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,41,72,99,202,227,271,158,175,219,206,138,115,126,87,90,81,86,50,52,38,37,68,74,59,69,48
Singapore,0,0,0,9,21,45,54,23,30,89,142,453,572,908,2638,8710,10955,7444,8562,7787,6183,5695,5136,4311,2556,2302,2258,2221,2994,4791,3783,3830,933,967,698,396,701,260,188,178,104
Slovakia,0,0,0,0,0,0,0,0,0,10,144,196,265,363,431,740,381,58,81,70,30,21,15,40,66,142,184,252,143,369,316,449,564,947,903,1317,1730,2154,4738,7600,12570
