,,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30,week 31,week 32,week 33,week 34,week 35
CA,,1.0,1.0,0.0,0.0,1.0,6.0,48.0,178.0,523.0,1475.0,2250.0,2063.0,2519.0,2682.0,3123.0,3109.0,3248.0,4044.0,4473.0,4895.0,5614.0,7986.0,10062.0,13451.0,15508.0,15839.0,16216.0,13849.0,14936.0,13934.0,10555.0,8693.0,6798.0,6387.0,743.0
CO,,0.0,0.0,0.0,0.0,0.0,0.0,31.0,278.0,1240.0,3373.0,4065.0,3460.0,5499.0,6606.0,5272.0,4994.0,4098.0,3681.0,3894.0,2705.0,1885.0,2536.0,3162.0,3386.0,5244.0,5836.0,7410.0,5352.0,5288.0,3795.0,3740.0,3464.0,3295.0,4215.0,1021.0
PA,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,592.0,3115.0,7594.0,8426.0,7169.0,6827.0,6004.0,5488.0,4446.0,3880.0,3325.0,2771.0,2376.0,2513.0,3053.0,3668.0,4195.0,4758.0,5165.0,4403.0,4116.0,4139.0,3482.0,3718.0,4344.0,4577.0,608.0
TN,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,96.0,676.0,1766.0,2995.0,2400.0,2432.0,3918.0,5024.0,3359.0,3576.0,3724.0,4653.0,4747.0,6191.0,6427.0,9781.0,13908.0,18029.0,21063.0,21951.0,19506.0,17786.0,15809.0,14011.0,15644.0,13805.0,15242.0,2779.0
TX,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,283.0,935.0,1742.0,2057.0,1921.0,2041.0,2450.0,2691.0,3020.0,2341.0,3433.0,3771.0,5410.0,9375.0,13650.0,17450.0,21299.0,26009.0,18605.0,19517.0,17318.0,17183.0,12587.0,10643.0,8464.0,9584.0,2115.0
WA,,1.0,0.0,0.0,0.0,0.0,34.0,314.0,881.0,1910.0,3788.0,3272.0,3337.0,2429.0,2106.0,2357.0,2250.0,1952.0,1807.0,2622.0,2889.0,2829.0,3762.0,4462.0,5982.0,6384.0,8181.0,7434.0,6774.0,6209.0,5369.0,4496.0,4221.0,3375.0,3869.0,443.0
