State,deaths - 1/22/20,deaths - 1/23/20,deaths - 1/24/20,deaths - 1/25/20,deaths - 1/26/20,deaths - 1/27/20,deaths - 1/28/20,deaths - 1/29/20,deaths - 1/30/20,deaths - 1/31/20,deaths - 2/1/20,deaths - 2/2/20,deaths - 2/3/20,deaths - 2/4/20,deaths - 2/5/20,deaths - 2/6/20,deaths - 2/7/20,deaths - 2/8/20,deaths - 2/9/20,deaths - 2/10/20,deaths - 2/11/20,deaths - 2/12/20,deaths - 2/13/20,deaths - 2/14/20,deaths - 2/15/20,deaths - 2/16/20,deaths - 2/17/20,deaths - 2/18/20,deaths - 2/19/20,deaths - 2/20/20,deaths - 2/21/20,deaths - 2/22/20,deaths - 2/23/20,deaths - 2/24/20,deaths - 2/25/20,deaths - 2/26/20,deaths - 2/27/20,deaths - 2/28/20,deaths - 2/29/20,deaths - 3/1/20,deaths - 3/2/20,deaths - 3/3/20,deaths - 3/4/20,deaths - 3/5/20,deaths - 3/6/20,deaths - 3/7/20,deaths - 3/8/20,deaths - 3/9/20,deaths - 3/10/20,deaths - 3/11/20,deaths - 3/12/20,deaths - 3/13/20,deaths - 3/14/20,deaths - 3/15/20,deaths - 3/16/20,deaths - 3/17/20,deaths - 3/18/20,deaths - 3/19/20,deaths - 3/20/20,deaths - 3/21/20,deaths - 3/22/20,deaths - 3/23/20,deaths - 3/24/20,deaths - 3/25/20,deaths - 3/26/20,deaths - 3/27/20,deaths - 3/28/20,deaths - 3/29/20,deaths - 3/30/20,deaths - 3/31/20,deaths - 4/1/20,deaths - 4/2/20,deaths - 4/3/20,deaths - 4/4/20,deaths - 4/5/20,deaths - 4/6/20,deaths - 4/7/20,deaths - 4/8/20,deaths - 4/9/20,deaths - 4/10/20,deaths - 4/11/20,deaths - 4/12/20,deaths - 4/13/20,deaths - 4/14/20,deaths - 4/15/20,deaths - 4/16/20,deaths - 4/17/20,deaths - 4/18/20,deaths - 4/19/20,deaths - 4/20/20,deaths - 4/21/20,deaths - 4/22/20,deaths - 4/23/20,deaths - 4/24/20,deaths - 4/25/20,deaths - 4/26/20,deaths - 4/27/20,deaths - 4/28/20,deaths - 4/29/20,deaths - 4/30/20,deaths - 5/1/20,deaths - 5/2/20,deaths - 5/3/20,deaths - 5/4/20,deaths - 5/5/20,deaths - 5/6/20,deaths - 5/7/20,deaths - 5/8/20,deaths - 5/9/20,deaths - 5/10/20,deaths - 5/11/20,deaths - 5/12/20,deaths - 5/13/20,deaths - 5/14/20,deaths - 5/15/20,deaths - 5/16/20,deaths - 5/17/20,deaths - 5/18/20,deaths - 5/19/20,deaths - 5/20/20,deaths - 5/21/20,deaths - 5/22/20,deaths - 5/23/20,deaths - 5/24/20,deaths - 5/25/20,deaths - 5/26/20,deaths - 5/27/20,deaths - 5/28/20,deaths - 5/29/20,deaths - 5/30/20,deaths - 5/31/20,deaths - 6/1/20,deaths - 6/2/20,deaths - 6/3/20,deaths - 6/4/20,deaths - 6/5/20,deaths - 6/6/20,deaths - 6/7/20,deaths - 6/8/20,deaths - 6/9/20,deaths - 6/10/20,deaths - 6/11/20,deaths - 6/12/20,deaths - 6/13/20,deaths - 6/14/20,deaths - 6/15/20,deaths - 6/16/20,deaths - 6/17/20,deaths - 6/18/20,deaths - 6/19/20,deaths - 6/20/20,deaths - 6/21/20,deaths - 6/22/20,deaths - 6/23/20,deaths - 6/24/20,deaths - 6/25/20,deaths - 6/26/20,deaths - 6/27/20,deaths - 6/28/20,deaths - 6/29/20,deaths - 6/30/20,deaths - 7/1/20,deaths - 7/2/20,deaths - 7/3/20,deaths - 7/4/20,deaths - 7/5/20,deaths - 7/6/20,deaths - 7/7/20,deaths - 7/8/20,deaths - 7/9/20,deaths - 7/10/20,deaths - 7/11/20,deaths - 7/12/20,deaths - 7/13/20,deaths - 7/14/20,deaths - 7/15/20,deaths - 7/16/20,deaths - 7/17/20,deaths - 7/18/20,deaths - 7/19/20,deaths - 7/20/20,deaths - 7/21/20,deaths - 7/22/20,deaths - 7/23/20,deaths - 7/24/20,deaths - 7/25/20,deaths - 7/26/20,deaths - 7/27/20,deaths - 7/28/20,deaths - 7/29/20,deaths - 7/30/20,deaths - 7/31/20,deaths - 8/1/20,deaths - 8/2/20,deaths - 8/3/20,deaths - 8/4/20,deaths - 8/5/20,deaths - 8/6/20,deaths - 8/7/20,deaths - 8/8/20,deaths - 8/9/20,deaths - 8/10/20,deaths - 8/11/20,deaths - 8/12/20,deaths - 8/13/20,deaths - 8/14/20,deaths - 8/15/20,deaths - 8/16/20,deaths - 8/17/20,deaths - 8/18/20,deaths - 8/19/20,deaths - 8/20/20,deaths - 8/21/20,deaths - 8/22/20,deaths - 8/23/20,deaths - 8/24/20,deaths - 8/25/20,deaths - 8/26/20,deaths - 8/27/20,deaths - 8/28/20,deaths - 8/29/20,deaths - 8/30/20,deaths - 8/31/20,deaths - 9/1/20,deaths - 9/2/20,deaths - 9/3/20,deaths - 9/4/20,deaths - 9/5/20,deaths - 9/6/20,deaths - 9/7/20,deaths - 9/8/20,deaths - 9/9/20,deaths - 9/10/20,deaths - 9/11/20,deaths - 9/12/20,deaths - 9/13/20,deaths - 9/14/20,deaths - 9/15/20,deaths - 9/16/20
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,4,4,4,5,3,4,8,8,8,10,10,7,9,15,14,10,13,9,11,12,13,25,23,10,34,8,12,24,29,25,21,20,6,16,23,19,23,25,14,6,19,24,21,20,22,16,7,15,25,23,20,27,13,8,11,31,23,26,18,17,4,4,14,23,20,20,17,8,0,36,17,17,21,17,7,6,23,27,19,14,18,7,8,21,20,19,17,17,5,15,14,26,20,15,8,8,12,27,20,56,-18,5,2,28,29,37,35,26,19,6,12,36,33,31,14,40,3,15,30,40,39,35,23,6,24,43,45,29,55,35,8,29,49,42,34,47,25,22,23,44,41,47,38,19,4,27,46,42,33,41,37,9,27,38,36,35,28,27,8,21,37,40,42,39,16,5,8,13,45,15,54,18,13,21,37,24
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,3,2,0,0,21,9,10,23,5,12,26,19,30,24,26,23,19,50,23,59,40,43,28,0,66,47,30,30,35,19,47,64,38,76,189,17,14,43,54,52,19,75,21,17,16,85,35,40,26,14,7,30,40,92,54,102,73,38,17,57,71,17,23,9,7,5,33,71,50,24,12,3,21,28,35,30,19,7,0,28,19,35,19,21,5,2,9,23,17,9,7,7,0,7,17,3,2,14,0,0,14,12,12,0,7,0,0,2,7,16,3,31,2,0,3,17,10,3,10,2,0,10,9,14,26,7,7,0,9,0,36,2,28,7,2,0,7,3,3,5,3,2,9,23,0,10,10,14,2,0,5,3,5,12,12,0,0,10,7,7,10,10,0,3,2,9,5,21,0,7,5,0,5,5,10,5,0,3,10,10
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,3,4,5,9,3,8,12,9,12,9,27,11,9,61,54,23,60,59,12,0,60,49,0,85,62,216,72,145,19,6,55,35,10,37,93,373,77,48,51,19,10,427,73,235,149,65,14,18,59,103,159,39,26,2,224,102,111,80,91,87,22,12,10,88,84,71,56,0,0,102,59,59,53,35,9,8,48,37,40,38,38,3,23,26,34,33,30,16,3,2,30,42,30,18,18,2,7,27,28,21,27,2,3,1,26,20,28,25,13,5,5,16,20,12,15,12,6,2,16,20,12,17,10,2,3,0,42,0,11,12,4,0,18,9,30,12,12,1,2,27,26,19,28,16,2,0,24,19,12,16,14,2,1,20,15,9,14,14,2,0,14,16,16,8,14,0,15,9,12,12,13,0,0,25,5,22
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,9,4,15,10,9,9,3,28,9,15,21,6,4,0,12,22,15,9,3,4,4,6,7,13,4,0,12,4,3,0,15,10,7,7,1,7,10,16,0,6,1,1,10,21,13,21,4,7,4,4,6,7,6,3,21,10,3,6,15,4,6,7,0,4,18,10,19,13,13,1,4,18,3,7,37,6,3,12,15,7,16,9,13,3,7,16,21,15,15,13,0,12,18,6,15,19,6,13,7,18,32,32,19,22,4,9,29,25,21,26,34,9,6,34,22,50,19,37,1,19,0,60,21,40,12,9,25,34,40,54,25,16,12,23,53,23,35,18,31,26,31,56,42,51,85,21,7,28,59,28,35,38,34,31,7,34,21,38,37,38,4,4,35,53,85,51,63,22,25,44,38
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,2,2,1,4,5,4,4,6,7,5,5,8,7,9,10,6,0,16,16,10,12,9,8,6,7,9,6,11,10,8,6,9,14,17,12,11,7,6,8,13,9,11,16,13,4,11,9,20,19,11,10,3,8,16,7,13,9,4,3,2,8,13,9,7,8,2,6,12,11,7,10,4,2,7,11,12,6,6,7,2,16,11,14,10,8,6,3,9,9,16,11,13,9,3,7,20,14,17,11,10,6,21,33,36,33,34,28,15,29,37,42,57,41,21,14,23,41,36,37,31,35,412,0,153,55,102,92,0,62,84,81,106,101,85,39,11,75,110,88,107,82,49,18,79,106,81,89,74,36,9,62,79,91,68,53,31,9,49,65,76,48,61,22,7,21,48,56,50,51,16,7,46,47
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,4,1,3,4,4,5,1,7,3,8,4,3,8,5,18,11,12,13,1,20,17,8,18,33,22,13,30,5,39,17,30,29,38,45,29,34,34,37,22,22,0,43,34,21,26,28,13,24,38,14,24,16,20,16,20,28,20,17,12,9,5,9,28,11,28,18,21,13,18,22,16,12,11,11,3,1,38,8,11,8,0,14,12,11,22,14,7,9,0,7,8,8,4,14,5,5,5,20,17,7,11,12,5,3,7,1,25,13,13,5,8,12,12,9,7,8,0,13,16,9,4,12,3,7,13,17,13,18,18,0,14,-49,9,28,9,8,14,4,7,12,5,16,13,8,8,24,0,47,12,0,38,0,9,21,8,35,26,1,24,8,25,13,17,22,12,18,8,29,21,16,17,12,7,4,11,8,12,18,0,0,14,18,9,11,12,1,0,0,0,34,9,11,0,0,20,12,7
