County Name,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020
Berks County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,7,0,1,3,7,10,4,8,8,10,12,10,11,47,25,50,25,27,23,21,20,28,50,36,11,10,19,34,30,16,20,8,19,8,14,12,15,18,15,13,10,11,23,16,27,11,9,8,11,15,12,8,10,4,7,5,13,2,9,4,4,8,5,4,3,14,3,8,6,5,4,4,4,4,4,4,3,5,5,4,1,4,2,2,4,3,5,3,6,2,2,3,3,3,5,1,8,1,1,0,2,1,6,4,6,4,4,3,2,2,8,5,4,4,5,6,5,6,7,14,7,2,6,9,5,6,6,4,5,7,7,5,8,5,8,7,6,6,9,5,9,8,6,3,10,9,5,9,9,8,8,10,6,6,9,8,7,4,9,8,11,9,11,5,7,8,12,4,7,19,0,16,13,14
Delaware County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,2,2,5,3,10,5,7,9,5,6,9,14,13,13,16,20,13,24,33,27,23,15,21,17,13,21,40,16,16,14,30,18,26,27,19,21,14,18,28,14,27,27,20,15,13,18,22,32,28,25,12,7,13,17,28,26,11,12,11,16,22,16,10,11,5,6,8,8,7,7,7,4,3,9,7,4,9,5,2,6,4,9,6,5,4,6,3,5,2,4,4,3,2,2,2,3,4,3,4,3,5,5,4,6,3,5,3,6,8,4,8,3,6,4,7,8,8,12,9,8,7,10,7,8,16,19,6,15,21,11,10,10,18,6,10,17,13,8,8,9,10,8,13,16,11,10,15,10,7,11,5,15,7,11,6,6,5,6,8,9,8,6,7,13,9,7,5,6,8,6,6,7,6,8,8,0,11,8,7
Lehigh County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,7,8,4,11,22,11,28,28,28,60,20,35,38,47,40,26,16,17,17,15,32,21,25,13,17,11,14,21,12,16,20,14,9,13,9,21,15,12,8,11,10,17,11,10,8,19,5,7,9,16,5,12,8,6,6,10,10,7,4,6,4,2,6,5,5,2,5,1,3,6,4,3,5,3,4,5,1,3,5,4,4,1,4,1,5,7,13,4,2,5,6,9,6,5,0,4,4,6,6,3,3,2,2,5,5,4,6,9,2,2,3,4,8,6,6,1,5,6,4,2,4,12,6,4,8,11,5,4,5,6,1,5,4,4,5,4,9,2,5,8,4,3,3,3,1,3,2,3,2,2,2,1,1,1,4,4,5,3,2,2,3,6,1,6,6,4,0,6,0,5,5,0,7,4,5
Northampton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,4,4,8,5,10,19,20,22,22,29,40,16,26,19,27,30,15,15,14,16,15,25,15,13,20,15,9,25,15,21,20,21,11,7,45,12,14,17,26,10,9,13,11,14,11,13,8,4,11,6,16,11,19,14,8,10,7,11,9,8,15,3,4,8,21,8,6,7,0,9,4,1,4,3,2,6,2,6,3,5,5,3,2,1,2,5,5,7,2,1,5,4,4,3,6,4,6,2,4,5,6,2,3,1,3,5,4,5,6,3,0,1,8,6,4,6,4,2,3,4,6,6,8,6,4,7,9,3,4,5,6,1,5,4,4,4,2,3,1,4,4,9,3,3,3,2,0,3,5,4,0,3,2,1,2,2,4,7,1,1,1,3,1,2,4,2,5,1,3,3,5,5,0,11,6,8
Philadelphia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,5,9,8,11,10,9,12,18,24,27,21,33,30,25,28,36,31,32,21,29,20,14,21,29,23,17,17,22,19,25,26,24,16,13,15,18,26,16,26,15,9,16,11,17,24,16,16,8,13,10,16,13,12,7,13,9,10,12,14,10,11,7,6,15,8,12,12,5,6,12,5,7,6,8,7,5,6,6,6,11,7,5,5,6,6,6,8,7,8,6,6,8,8,8,8,6,6,6,8,9,1,8,0,0,18,6,10,11,7,0,9,9,9,8,10,6,11,5,11,0,20,14,11,9,10,11,7,8,8,11,5,4,8,6,7,7,9,6,4,11,6,12,9,10,6,0,13,5,7,5,11,5,4,6,6,5,8,8,6,5,9,4,16,8,8,5,3,5,4,4,6,5,5,0,12,4
